dgms_id,ms_name,procsm_id,biosample_id
nmdc:dgms-12-eh8vcz24,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_10RM_BESC-133-Corv-RM_1_Rg70to1050-CE102040-root-S1_Run771,nmdc:procsm-11-fk0rht68,nmdc:bsm-11-sdjyhj66
nmdc:dgms-12-jwctr139,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_10RZM_BESC-133-Corv-RZM_1_Rg70to1050-CE102040-rhizo-S1_Run375,nmdc:procsm-11-bqvnb630,nmdc:bsm-11-h49t7j41
nmdc:dgms-12-jz6d3003,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_11LM_BESC-133-Corv-LM_2_Rg70to1050-CE102040-leaf-S1_Run138,nmdc:procsm-11-cx8p2d68,nmdc:bsm-11-r3tm7493
nmdc:dgms-12-04padp26,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_11RM_BESC-133-Corv-RM_2_Rg70to1050-CE102040-root-S1_Run810,nmdc:procsm-11-t03mzm57,nmdc:bsm-11-dz264p50
nmdc:dgms-12-dz3akx32,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_11RZM_BESC-133-Corv-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run558,nmdc:procsm-11-rnfnbw12,nmdc:bsm-11-ad739z23
nmdc:dgms-12-wf4ypk70,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_12LM_BESC-133-Corv-LM_3_Rg70to1050-CE205060-leaf-S1_Run239,nmdc:procsm-11-b27qyr36,nmdc:bsm-11-j6j1p639
nmdc:dgms-12-54w9dz30,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_12RZM_BESC-133-Corv-RZM_3_Rg70to1050-CE205060-rhizo-S1_Run631,nmdc:procsm-11-chd39380,nmdc:bsm-11-g9w69290
nmdc:dgms-12-fsh07v97,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_13RM_BESC-198-Clat-RM_2_Rg70to1050-CE102040-root-S1_Run926,nmdc:procsm-11-rdjena61,nmdc:bsm-11-766dwa91
nmdc:dgms-12-3nzhfn65,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_13RZM_BESC-198-Clat-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run470,nmdc:procsm-11-n2jhyk28,nmdc:bsm-11-kgkcxn39
nmdc:dgms-12-ngjf5b02,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_14LM_BESC-198-Clat-LM_3_Rg70to1050-CE205060-leaf-S1_Run236,nmdc:procsm-11-m8k2wn62,nmdc:bsm-11-c12hyq86
