mg_feature,n_metabolites,n_relationships,mean_importance,max_importance,mean_abs_corr,max_abs_corr
Bradyrhizobium erythrophlei,6,6,0.011659278752454217,0.0199759121715203,0.5476925867081134,0.6692097184543518
Sulfurihydrogenibium sp. YO3AOP1,6,6,0.024952235829381216,0.0727507770061492,0.569906813256846,0.6337643950770072
Halomonas sp. JS92-SW72,6,6,0.018873041692733652,0.0749576315283775,0.5193012289835218,0.5762205878674962
Hymenobacter sp. DG25B,6,6,0.017189594208509584,0.026263952255249,0.4770208700213854,0.5327905439191896
Nonomuraea sp. ATCC 55076,5,5,0.014311513576708202,0.0393801443278789,0.6079946305737108,0.7314019912853409
Nocardiopsis gilva,5,5,0.0112585197467685,0.0206890853103071,0.6121269060325407,0.7287448371897529
Allokutzneria albata,5,5,0.017525508876155678,0.0500476192177307,0.5959080001403828,0.7204513747945284
Actinomyces sp. VUL4_3,5,5,0.02895131067109894,0.0505801767914409,0.5796996937634039,0.5987072974000376
Corynebacterium camporealensis,5,5,0.014025183450225197,0.0325644426047802,0.5265708751666872,0.5802673826170359
Bordetella pertussis,5,5,0.03385812670268952,0.0662292192810788,0.39670122079795017,0.4556104938266604
Mycobacterium shigaense,4,4,0.0225425533939674,0.0596627149532969,0.5783313274299718,0.6906795816185786
Saccharothrix espanaensis,4,4,0.010193659663566225,0.0147736372399047,0.5254811014579146,0.6657950283146117
Nocardiopsis alba,4,4,0.010322001688060726,0.0141116086101387,0.5379153884846964,0.660384382594611
Amycolatopsis methanolica,4,4,0.008419027421847,0.0098923347980211,0.5216975968535884,0.6571818837071314
Terriglobus roseus,4,4,0.015345650121006199,0.0383129252698816,0.5179673379317943,0.6401026431242024
Thermobispora bispora,4,4,0.015318467560039774,0.0328136906027793,0.5738345667772828,0.6291556471921241
Mycobacterium colombiense,4,4,0.03399267358744,0.1005210419107335,0.5528082175197974,0.6248371550796655
Homo sapiens,4,4,0.008626950135801175,0.0133371142737167,0.49583422115345877,0.6172517999837533
Chryseolinea sp. KIS68-18,4,4,0.014185292413458176,0.0207348093390464,0.50444119074216,0.5965394906686651
Mycobacterium marseillense,4,4,0.025373480366373123,0.0509768537709144,0.5409575966099024,0.591060477238563
Methylotenera versatilis,4,4,0.0212874245851866,0.0582135894711381,0.5615269406524344,0.5892337150242316
Polynucleobacter asymbioticus,4,4,0.030426795490324197,0.0611041538759773,0.5774780966930663,0.5876271266598326
Frankia symbiont of Datisca glomerata,4,4,0.012008216780846325,0.0183304138481616,0.49168025096912693,0.5582416307511943
Rhizobium leguminosarum,4,4,0.011376442687622574,0.0227130679932699,0.4386398573431848,0.5513472970330506
Opitutus sp. GAS368,4,4,0.0114420323925424,0.0169057548046112,0.5012278439159045,0.5429379859074833
Azospira oryzae,4,4,0.03470508945058917,0.08651238260852,0.44058348388000146,0.4736374117805114
Micromonospora narathiwatensis,3,3,0.013840940465185669,0.0271149035505873,0.6367571369188499,0.7109688130865385
Micromonospora auratinigra,3,3,0.015072599384780267,0.0326027346179053,0.6382369629320704,0.7106455304497566
Pseudonocardia sp. AL041005-10,3,3,0.02577490790292603,0.0580140799283981,0.603420200095168,0.702906665413962
Nakamurella multipartita,3,3,0.016772846868395933,0.0227297189628725,0.6173435748862278,0.7023623565789877
Amycolatopsis sp. BJA-103,3,3,0.014477289095803666,0.022236426369139,0.5849193626045679,0.691883230994234
Granulicella mallensis,3,3,0.027002585129687635,0.0575098798929907,0.5672356768376164,0.665666605250943
Jatrophihabitans sp. GAS493,3,3,0.009271789142868634,0.0121890057326567,0.5960537254126047,0.6510413549014968
Candidatus Koribacter versatilis,3,3,0.03453055107208517,0.0626703711930642,0.5893957263392579,0.6502935226472499
