feature,mean_abs_shap
Microlunatus soli,0.0027504292444393585
Paraoerskovia marina,0.002743997552268769
Corynebacterium halotolerans,0.002735842128156119
Marivivens sp. JLT3646,0.0027187992694244034
Isoptericola dokdonensis,0.0026993433388440525
Micromonospora aurantiaca,0.002690621142805488
Marinovum algicola,0.0026672902436433044
Actinoplanes friuliensis,0.0026642930152439358
Kocuria flava,0.0026404215548556475
Komagataeibacter nataicola,0.002603878218743043
Komagataeibacter europaeus,0.002600063480543203
Desulfovibrio gigas,0.0025941630362800246
Auraticoccus monumenti,0.002567417723215924
Rhodococcus hoagii,0.002565817948344398
Propionibacterium acidifaciens,0.0025366123538624443
Rhodococcus sp. WMMA185,0.002524391952468424
Bradyrhizobium sp. BTAi1,0.00247500172083652
Aeromicrobium choanae,0.0024587559472009617
Gluconobacter oxydans,0.0024583046590664855
Roseomonas sp. FDAARGOS_362,0.002374279462216675
Yoonia vestfoldensis,0.0023706496309140596
Rhodoferax antarcticus,0.0023490481073672864
Asaia bogorensis,0.0023446760284093274
Oceanithermus profundus,0.0023153760569814166
Rhodopirellula baltica,0.002308588262152251
Pseudomonas fuscovaginae,0.0022809600128305494
Pseudomonas taetrolens,0.0022554247284205966
Cyanobium gracile,0.002207823197914644
Rathayibacter tritici,0.0021863610622675955
Georgenia sp. ZLJ0423,0.002172218235959899
Gordonia terrae,0.0021506878452461557
Celeribacter manganoxidans,0.0021218438492422004
Microbacterium sp. TPU 3598,0.0021085523448218313
Rhodococcus sp. PBTS 1,0.002084814158549536
Mycobacteroides immunogenum,0.0020799765579437007
Mycobacterium chimaera,0.002016152052308381
Beutenbergia cavernae,0.002013616027112037
Faecalibacterium prausnitzii,0.0020018735551265
Truepera radiovictrix,0.0019890907164157715
Phycicoccus dokdonensis,0.0019750452539130203
Arsenicicoccus sp. oral taxon 190,0.001963931494519516
Pannonibacter phragmitetus,0.0019456504382232367
Microcystis aeruginosa,0.001931134624936722
Corynebacterium frankenforstense,0.0018900355604122166
Brevibacterium aurantiacum,0.0018833386195482348
Pseudomonas extremorientalis,0.001871259083245573
Zhihengliuella sp. ISTPL4,0.0018397531051416321
Gordonia sp. MMS17-SY073,0.001822629274562764
Micromonospora coriariae,0.0017828824297907104
Martelella sp. AD-3,0.0017795832820427767
Humibacter sp. BT305,0.001744853192322566
Micromonospora sp. L5,0.0017044019016267799
Geobacter uraniireducens,0.0016674802987969924
Actinotignum schaalii,0.0016381645780740653
Magnetospirillum sp. XM-1,0.0016247343530614816
[Mycobacterium] stephanolepidis,0.0016034304799252205
Intrasporangium calvum,0.0015973582334024522
Haematospirillum jordaniae,0.0015913315889700189
Dietzia timorensis,0.0015650315142638157
Saccharomonospora viridis,0.001550929583316556
Rhodococcus sp. PBTS 2,0.0015354417592084904
Propionibacterium freudenreichii,0.0015185597643704194
Ruegeria sp. AD91A,0.0015131708137523703
Corynebacterium aurimucosum,0.0015125654422707367
Hoeflea sp. IMCC20628,0.0014970105544175243
Bifidobacterium choerinum,0.0014884840757976542
Thioalkalivibrio paradoxus,0.0014728356481181928
Bifidobacterium breve,0.0014670184248449065
Haloferax volcanii,0.0014649934636250894
Bifidobacterium dentium,0.0014535609527041625
Micromonospora tulbaghiae,0.0014438242748717942
Rhodococcus sp. S2-17,0.0014255739398952756
Rhodococcus fascians,0.0014169386281491902
Celeribacter baekdonensis,0.001391019140849949
Dermacoccus nishinomiyaensis,0.0013887039479124693
Tessaracoccus aquimaris,0.0013660592944898199
Aeromicrobium sp. 592,0.0013380807777283626
Halobacterium sp. DL1,0.0013376461457095205
Methanosphaerula palustris,0.0013155847163801072
Rhodococcus aetherivorans,0.0012880207994288146
Cryobacterium sp. GCJ02,0.0012398787228955323
Phaeobacter sp. LSS9,0.0012310213453295582
Jonesia denitrificans,0.0012305637467602182
Bifidobacterium thermophilum,0.00123034680514861
Paracoccus sp. CBA4604,0.0012266755895309922
Corynebacterium provencense,0.0012251953135358905
Acidiferrobacter sp. SPIII_3,0.0012166729894236509
Thermogutta terrifontis,0.001215147294922493
Acidimicrobium ferrooxidans,0.0011986722432624384
Candidatus Desulforudis audaxviator,0.0011843121211286213
Devriesea agamarum,0.0011426861657006478
Yangia pacifica,0.0011298735761823277
Komagataeibacter hansenii,0.0011031674753300916
Amycolatopsis sp. BJA-103,0.0010996600060423237
Candidatus Endolissoclinum faulkneri,0.0010929259411168039
Luteipulveratus mongoliensis,0.0010385372168616894
Bifidobacterium scardovii,0.0010302090783516403
Marinobacter sp. Arc7-DN-1,0.0010183300135863538
Mycobacterium leprae,0.0009961423166178684
Haloplanus aerogenes,0.0009427740384691199
Akkermansia glycaniphila,0.0009425648816308885
Sulfitobacter sp. AM1-D1,0.0009392605527061295
Deinococcus radiodurans,0.0009326799662305767
Deinococcus proteolyticus,0.0009217270717548733
Haloterrigena turkmenica,0.0008506027744727686
Corynebacterium sp. 2183,0.0008345355559289092
Frondihabitans sp. PAMC 28766,0.0008325485079825282
Cutibacterium granulosum,0.0008264069500661271
Erythrobacter sp. Alg231-14,0.000818734544286283
Bacteroidetes bacterium Omega,0.0008072355797087868
Rothia mucilaginosa,0.0008056569992790406
Rubrobacter radiotolerans,0.0007874914114717191
Dietzia psychralcaliphila,0.0007787665547991676
Gemmobacter sp. HYN0069,0.0007625828301612768
Gordonia sp. 1D,0.0006920021562247593
Corynebacterium riegelii,0.0006895572755316772
Marinithermus hydrothermalis,0.0006842605510950701
Rhodococcus sp. P1Y,0.000671003761557344
Cnuibacter physcomitrellae,0.0006602677875868496
Micropruina glycogenica,0.0006526691027960162
Tessaracoccus flavescens,0.0006416776965570316
Gloeomargarita lithophora,0.0006338649866460661
Olsenella umbonata,0.0006316524233260697
Planctopirus limnophila,0.0006045260470380591
Pelagibaca abyssi,0.0006005217061659423
Dehalogenimonas lykanthroporepellens,0.0005929516122203556
Parvularcula bermudensis,0.000582681368150119
Corynebacterium glyciniphilum,0.0005628356229294972
Actinomyces radicidentis,0.0005297774693307724
Corynebacterium epidermidicanis,0.0005241423587688173
Agrococcus jejuensis,0.0005199116870749248
Corynebacterium camporealensis,0.00048467054735020296
Trueperella pyogenes,0.0004550537246096459
Tessaracoccus sp. Marseille-P5995,0.00043284295366376234
Miniimonas sp. S16,0.0004153350491695377
Corynebacterium marinum,0.0004028197700987894
Halomonas chromatireducens,0.0003820863479469413
Corynebacterium testudinoris,0.0003798726439524171
Bifidobacterium longum,0.0003754221976832901
Desulfurivibrio alkaliphilus,0.0003731037472743067
Paracoccus yeei,0.000363195738600291
Pseudovibrio sp. FO-BEG1,0.0003567211081482821
Paracoccus aminovorans,0.000335999022735476
Geobacillus thermoleovorans,0.000333608277330131
Aeromonas caviae,0.00033352783106304604
Actinomyces sp. 2129,0.00033197376216229893
Actinobacteria bacterium IMCC26256,0.0003237910559600836
Bifidobacterium asteroides,0.00031434171612134093
Deinococcus irradiatisoli,0.0003135801010319995
Actinomyces radingae,0.00031113029709565484
Olsenella sp. Marseille-P2300,0.000308173875334433
Mycobacterium liflandii,0.00029814628959634175
Lawsonella clevelandensis,0.0002782593771526862
Rhodococcus sp. 2G,0.0002576011598267541
Actinomyces sp. oral taxon 414,0.00024980449872772053
Corynebacterium geronticis,0.0002459542689402231
Thalassospira marina,0.00021483311876051826
Synechococcus sp. SynAce01,0.0002119560817186293
Dermabacter vaginalis,0.00019435884418180866
Actinomyces gaoshouyii,0.000165480869450619
Corynebacterium argentoratense,0.00014728065698471718
Corynebacterium uterequi,0.00012380042260202082
Acaryochloris marina,0.00012244502306852742
Corynebacterium striatum,0.00012114120107887746
Candidatus Protochlamydia naegleriophila,0.00011913519462396007
Actinomyces sp. Chiba101,0.00011132724895430961
Alistipes shahii,0.00010734152321614005
Streptococcus suis,9.770752435920085e-05
Corynebacterium sp. 2184,9.339271644455545e-05
Oscillibacter sp. PEA192,9.253306058914021e-05
Gloeobacter violaceus,8.328624346886149e-05
Dermatophilus congolensis,8.148440376766462e-05
Phaeobacter gallaeciensis,6.659819653352619e-05
Actinomyces hongkongensis,6.633612790074578e-05
Halanaeroarchaeum sulfurireducens,6.120011621338163e-05
Caldithrix abyssi,6.055288983160517e-05
Corynebacterium aquilae,5.981001236177938e-05
Corynebacterium doosanense,5.625712030394307e-05
Flavonifractor plautii,5.311214137562965e-05
Synechococcus sp. RCC307,5.145360916446521e-05
Parasaccharibacter apium,4.780949718758952e-05
Spiribacter salinus,4.183254675351133e-05
Corynebacterium genitalium,3.704202872419613e-05
Corynebacterium atypicum,3.5048854231195065e-05
Bifidobacterium angulatum,3.504497952109433e-05
Pelodictyon luteolum,3.110731173880265e-05
Corynebacterium lactis,2.6321121928055706e-05
Corynebacterium resistens,2.574582756385056e-05
Ketogulonicigenium robustum,1.5690066556402036e-05
Corynebacterium imitans,1.0118115361141259e-05
Actinomyces sp. VUL4_3,0.0
Oscillatoria acuminata,0.0
Megasphaera hexanoica,0.0
Nodularia spumigena,0.0
Halobacterium hubeiense,0.0
Parascardovia denticolens,0.0
Corynebacterium ureicelerivorans,0.0
Desulfotomaculum ruminis,0.0
Elusimicrobium minutum,0.0
Lactobacillus zymae,0.0
Corynebacterium mustelae,0.0
Halopenitus persicus,0.0
