feature,mean_abs_shap
Methylococcus capsulatus,0.0016482842234702914
Comamonas kerstersii,0.0016359071598960862
Methylobacterium sp. XJLW,0.0016253101045715427
Desulfovibrio africanus,0.0016041833105425625
Dechloromonas aromatica,0.0015689224579727074
Methylosinus trichosporium,0.0015567034310308174
Thioalkalivibrio sulfidiphilus,0.0015381654499590938
Allochromatium vinosum,0.0015293845021573682
Martelella sp. AD-3,0.0015251970083909447
Pusillimonas sp. T7-7,0.001508633137172215
Microbacterium testaceum,0.0014958886002678128
Methylomicrobium album,0.001493528079178362
Pseudonocardia sp. EC080619-01,0.0014494689194902136
Thioalkalivibrio paradoxus,0.0014275767495682545
Nitratireductor sp. OM-1,0.0014249246388642178
Salinigranum rubrum,0.0014224010856813568
Nakamurella sp. s14-144,0.0014180015433548003
Citrobacter werkmanii,0.0013909870260035851
Streptomyces sp. CFMR 7,0.0013886653581260597
Actinomyces sp. 2129,0.0013844090714781442
Phaeobacter gallaeciensis,0.0013449152604557385
Micromonospora krabiensis,0.0013424257526356614
Saccharomonospora glauca,0.0013134654895719216
Gemmobacter sp. HYN0069,0.0013012321929528252
Deinococcus proteolyticus,0.0012685508872947524
Ketogulonicigenium robustum,0.0012662876950234293
Paucimonas lemoignei,0.0012624646012036102
Rhodococcus sp. 2G,0.001256119944848516
Gloeobacter kilaueensis,0.0012426610663308938
Hymenobacter sp. sh-6,0.0012266070930997805
Desulfovibrio sp. G11,0.0012258220090571126
Singulisphaera acidiphila,0.0012059397008012387
Rhodobaca barguzinensis,0.001185747554813287
Streptomyces sp. ADI95-16,0.001174296733283703
Deinococcus deserti,0.0011519443707713782
Rhodobiaceae bacterium,0.0011405392450211393
Corynebacterium aurimucosum,0.0011164498088392075
Corynebacterium sp. 2184,0.0011036689213163554
Rathayibacter tritici,0.0010987465483594558
Komagataeibacter xylinus,0.0010722298459448565
Rothia mucilaginosa,0.0010471694558104366
Halomonas sp. A3H3,0.0010284090039548814
Streptomyces sp. SM17,0.001028328807595732
Frondihabitans sp. 762G35,0.0009164608460444551
Cutibacterium acnes,0.0008826424139156095
Mycolicibacter terrae,0.0008531556474900804
Corynebacterium terpenotabidum,0.0008376290429847731
Devriesea agamarum,0.0008220145496135021
Janthinobacterium sp. LM6,0.0007986166918126449
Thalassospira marina,0.0007963027100469632
Paracoccus aminovorans,0.0007905842549027322
Chlorobium limicola,0.0007874220648276505
Yoonia vestfoldensis,0.0007685948275987418
Pandoraea pulmonicola,0.0007640700250793531
Neisseria sp. 10023,0.0007490486768491038
Asaia bogorensis,0.0007296881196565353
Halorhodospira halophila,0.0007286371650790483
Pseudomonas sp. SWI44,0.0007235633264762291
Pseudovibrio sp. FO-BEG1,0.0007076315173653104
Desulfurivibrio alkaliphilus,0.0007033811369865552
Rhodococcus sp. PBTS 1,0.0006912174267652334
Rhodovulum sulfidophilum,0.0006630927557133034
Thioalkalivibrio sp. K90mix,0.0006599996057213632
Martelella endophytica,0.0006553870363843793
Prauserella marina,0.0006498494962910234
Sulfitobacter sp. AM1-D1,0.0006435885723699884
Actinoalloteichus sp. ADI127-7,0.0006248028934393043
Methylobacterium phyllosphaerae,0.0006212238436179578
Deinococcus peraridilitoris,0.0006113420958109006
Corynebacterium provencense,0.0006096327859057941
Ferrimonas balearica,0.0006008190740622894
Yangia pacifica,0.000595382288344586
Rhodopirellula baltica,0.000555941623439738
Thiocystis violascens,0.000552856310585829
