,count,mean,std,min,25%,50%,75%,max
Clostridium carboxidivorans,105.0,0.0002380952380952381,0.0006127461753922872,0.0,0.0,0.0,0.0,0.003
Clostridium cellulovorans,105.0,0.0002666666666666667,0.0006831300510639728,0.0,0.0,0.0,0.0,0.003
Clostridium chauvoei,105.0,0.00013333333333333334,0.000393863180721688,0.0,0.0,0.0,0.0,0.002
Clostridium drakei,105.0,9.523809523809524e-05,0.0002949514146369482,0.0,0.0,0.0,0.0,0.001
Clostridium estertheticum,105.0,0.0007809523809523811,0.0013227371997618052,0.0,0.0,0.0,0.001,0.008
Clostridium isatidis,105.0,0.00017142857142857145,0.00044844052124992103,0.0,0.0,0.0,0.0,0.002
Clostridium kluyveri,105.0,0.0002095238095238095,0.0005131958333521065,0.0,0.0,0.0,0.0,0.002
Clostridium ljungdahlii,105.0,0.00010476190476190476,0.0003077152006135618,0.0,0.0,0.0,0.0,0.001
Clostridium novyi,105.0,0.0001523809523809524,0.00041093122157420545,0.0,0.0,0.0,0.0,0.002
Clostridium pasteurianum,105.0,0.0007333333333333334,0.0011950753650733202,0.0,0.0,0.0,0.001,0.005
Clostridium perfringens,105.0,0.0005142857142857143,0.0007858641215772717,0.0,0.0,0.0,0.001,0.003
Clostridium saccharobutylicum,105.0,0.0027999999999999974,0.006797058187186571,0.0,0.0,0.0,0.001,0.038
Clostridium saccharoperbutylacetonicum,105.0,0.0035714285714285687,0.008673408901811444,0.0,0.0,0.0,0.002,0.046
Clostridium scatologenes,105.0,9.523809523809524e-05,0.00029495141463694826,0.0,0.0,0.0,0.0,0.001
Clostridium septicum,105.0,0.00013333333333333334,0.000393863180721688,0.0,0.0,0.0,0.0,0.002
Clostridium sp. DL-VIII,105.0,0.003009523809523807,0.00724501849827128,0.0,0.0,0.0,0.001,0.041
Clostridium sp. JN500901,105.0,0.00010476190476190476,0.0003077152006135618,0.0,0.0,0.0,0.0,0.001
Clostridium sp. MF28,105.0,0.00017142857142857143,0.0005087152531536759,0.0,0.0,0.0,0.0,0.003
Clostridium sp. SY8519,105.0,0.0005714285714285714,0.0004972451580988471,0.0,0.0,0.001,0.001,0.001
Clostridium taeniosporum,105.0,0.0004190476190476191,0.0010811403557653687,0.0,0.0,0.0,0.0,0.006
Clostridium tetani,105.0,0.00017142857142857145,0.0004032832288074505,0.0,0.0,0.0,0.0,0.002
Clostridium tyrobutyricum,105.0,7.61904761904762e-05,0.00026657507584594445,0.0,0.0,0.0,0.0,0.001
Cnuibacter physcomitrellae,105.0,0.007752380952380935,0.0037023406120082944,0.002,0.004,0.008,0.011,0.019
Cobetia marina,105.0,0.004161904761904756,0.0012413067674199067,0.002,0.003,0.004,0.005,0.008
Cohaesibacter sp. ES.047,105.0,0.00618095238095236,0.002803778194003953,0.002,0.004,0.006,0.008,0.0139999999999999
Cohnella sp. 18JY8-7,105.0,0.005409523809523795,0.0023724996477880716,0.002,0.004,0.005,0.0069999999999999,0.011
Collimonas arenae,105.0,0.08185714285714285,0.08858713969127414,0.012,0.041,0.0569999999999999,0.083,0.598
Collimonas fungivorans,105.0,0.3650380952380952,0.7557122204075173,0.019,0.078,0.119,0.2299999999999999,5.077
Collimonas pratensis,105.0,0.09173333333333333,0.10435140950972661,0.013,0.047,0.062,0.09,0.718
Collinsella aerofaciens,105.0,0.00385714285714285,0.0019875989159157345,0.001,0.002,0.004,0.005,0.009
Comamonadaceae bacterium A1,105.0,0.011047619047619028,0.004616819068906462,0.004,0.008,0.011,0.013,0.032
Comamonadaceae bacterium B1,105.0,0.011314285714285697,0.005103381770405342,0.003,0.008,0.011,0.0139999999999999,0.034
Comamonas aquatica,105.0,0.012504761904761892,0.005097366985331759,0.005,0.009,0.011,0.0139999999999999,0.034
Comamonas kerstersii,105.0,0.005742857142857135,0.0022787841369592515,0.002,0.004,0.005,0.006,0.015
Comamonas serinivorans,105.0,0.019590476190476176,0.007836913685706647,0.0069999999999999,0.0139999999999999,0.019,0.023,0.0559999999999999
Comamonas testosteroni,105.0,0.02089523809523809,0.007438108487744576,0.008,0.016,0.019,0.023,0.052
Comamonas thiooxydans,105.0,0.005904761904761895,0.002297673612440199,0.002,0.004,0.006,0.0069999999999999,0.016
Commensalibacter sp. AMU001,105.0,9.523809523809524e-05,0.0002949514146369484,0.0,0.0,0.0,0.0,0.001
Conexibacter woesei,105.0,0.35341904761904763,0.18941787244853742,0.06,0.2289999999999999,0.33,0.426,1.134
Confluentimicrobium sp. EMB200-NS6,105.0,0.008361904761904754,0.003632449400155305,0.003,0.005,0.008,0.011,0.018
Congregibacter litoralis,105.0,0.002504761904761905,0.0010841853510622041,0.001,0.002,0.002,0.003,0.006
Coprothermobacter proteolyticus,105.0,0.00017142857142857145,0.0004032832288074505,0.0,0.0,0.0,0.0,0.002
Coraliomargarita akajimensis,105.0,0.0017333333333333333,0.0011030261405182867,0.0,0.001,0.002,0.002,0.005
Corallococcus coralloides,105.0,0.048095238095238094,0.047434068373805365,0.009,0.0279999999999999,0.037,0.053,0.375
Coriobacteriaceae bacterium 68-1-3,105.0,0.003876190476190469,0.0020224472898676487,0.001,0.002,0.004,0.005,0.008
Coriobacterium glomerans,105.0,0.003371428571428568,0.0017664454903363535,0.001,0.002,0.003,0.004,0.008
