gold_project_id,nmdc_omics_id,nmdc_biosample_id,sample_name_nmdc,sample_code,site,compartment
Gp0566695,nmdc:omprc-11-3r644916,nmdc:bsm-11-n3g6kk24,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-845-Co2_60_28 soil",BESC-845-Co2_60_28,Corvallis,soil
Gp0566696,nmdc:omprc-11-wrrv7g13,nmdc:bsm-11-w11dzv86,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-845-Co3_28_42 soil",BESC-845-Co3_28_42,Corvallis,soil
Gp0566697,nmdc:omprc-11-fpqs1z93,nmdc:bsm-11-eqbpgh61,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-847-CL1_28_5 soil",BESC-847-CL1_28_5,Clatskanie,soil
Gp0566698,nmdc:omprc-11-d4jsa237,nmdc:bsm-11-nk3r8t63,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-847-CL2_38_7 soil",BESC-847-CL2_38_7,Clatskanie,soil
Gp0566699,nmdc:omprc-11-kkea4j23,nmdc:bsm-11-hejnp838,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-847-CL3_83_27 soil",BESC-847-CL3_83_27,Clatskanie,soil
Gp0566700,nmdc:omprc-11-h38wsj87,nmdc:bsm-11-y46kr968,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-847-Co1_12_9 soil",BESC-847-Co1_12_9,Corvallis,soil
Gp0566701,nmdc:omprc-11-x7sz0s85,nmdc:bsm-11-2q2qmz79,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-847-Co2_69_13 soil",BESC-847-Co2_69_13,Corvallis,soil
Gp0566702,nmdc:omprc-11-1ycq8b50,nmdc:bsm-11-gpd0g516,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-847-Co3_9_34 soil",BESC-847-Co3_9_34,Corvallis,soil
Gp0566703,nmdc:omprc-11-jhmxfh29,nmdc:bsm-11-ye5khf03,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-86-CL2_69_17 soil",BESC-86-CL2_69_17,Clatskanie,soil
Gp0566704,nmdc:omprc-11-ewmt8q74,nmdc:bsm-11-nsaqf095,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-866-CL2_50_11 soil",BESC-866-CL2_50_11,Clatskanie,soil
Gp0566705,nmdc:omprc-11-0xjef332,nmdc:bsm-11-mnkv7h37,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-866-CL3_75_7 soil",BESC-866-CL3_75_7,Clatskanie,soil
Gp0566706,nmdc:omprc-11-ggk8d910,nmdc:bsm-11-a93af105,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-866-Co1_10_5 soil",BESC-866-Co1_10_5,Corvallis,soil
Gp0566707,nmdc:omprc-11-q9m63e46,nmdc:bsm-11-m03j3183,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-866-Co2_58_19 soil",BESC-866-Co2_58_19,Corvallis,soil
Gp0566708,nmdc:omprc-11-d4wn2x69,nmdc:bsm-11-54rdaf84,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-866-Co3_27_48 soil",BESC-866-Co3_27_48,Corvallis,soil
Gp0566709,nmdc:omprc-11-dpmh3h95,nmdc:bsm-11-nrt24197,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-904-CL2_57_20 soil",BESC-904-CL2_57_20,Clatskanie,soil
Gp0566710,nmdc:omprc-11-96gjd236,nmdc:bsm-11-35peqt55,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-904-CL3_91_3 soil",BESC-904-CL3_91_3,Clatskanie,soil
Gp0566711,nmdc:omprc-11-a620j952,nmdc:bsm-11-3x6bd477,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co1_5_9 soil",BESC-904-Co1_5_9,Corvallis,soil
Gp0566712,nmdc:omprc-11-zdjd7t09,nmdc:bsm-11-jt9qtx26,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co2_51_17 soil",BESC-904-Co2_51_17,Corvallis,soil
Gp0566713,nmdc:omprc-11-kpsyyn56,nmdc:bsm-11-ffrfzy83,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 soil",BESC-904-Co3_16_51,Corvallis,soil
Gp0566714,nmdc:omprc-11-qbxbhf85,nmdc:bsm-11-ygtdv867,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-905-CL1_32_20 soil",BESC-905-CL1_32_20,Clatskanie,soil
Gp0566715,nmdc:omprc-11-824ce821,nmdc:bsm-11-20n7wy48,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-360-Co1_23_6 soil",BESC-360-Co1_23_6,Corvallis,soil
Gp0566716,nmdc:omprc-11-2trmc814,nmdc:bsm-11-pnb58t51,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-11047-CL1_23_5 soil",GW-11047-CL1_23_5,Clatskanie,soil
Gp0566717,nmdc:omprc-11-q7eqx855,nmdc:bsm-11-f4f5qh88,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-11047-CL2_41_30 soil",GW-11047-CL2_41_30,Clatskanie,soil
Gp0566718,nmdc:omprc-11-hzks0692,nmdc:bsm-11-5w16mg36,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-4579-CL1_25_23 soil",GW-4579-CL1_25_23,Clatskanie,soil
Gp0566719,nmdc:omprc-11-0d5x1287,nmdc:bsm-11-k8s74094,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-4579-CL2_50_20 soil",GW-4579-CL2_50_20,Clatskanie,soil
Gp0566720,nmdc:omprc-11-pvcar930,nmdc:bsm-11-s0np7e14,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-4579-CL3_72_14 soil",GW-4579-CL3_72_14,Clatskanie,soil
