biosample_id,metabolomics_run_count,metabolomics_run_ids
nmdc:bsm-11-6ntzv433,4,nmdc:dgms-12-1tybq661;nmdc:dgms-12-ckta7492;nmdc:dgms-12-1hpd0x54;nmdc:dgms-12-5nz6j955
nmdc:bsm-11-6pr72x09,4,nmdc:dgms-12-1yn28y98;nmdc:dgms-12-d49jr802;nmdc:dgms-12-01ssjv33;nmdc:dgms-12-ngxzqk35
nmdc:bsm-11-6xa4vj59,4,nmdc:dgms-12-nvn7w542;nmdc:dgms-12-148ss610;nmdc:dgms-12-v59eq448;nmdc:dgms-12-cbfvpk59
nmdc:bsm-11-6y26bz06,4,nmdc:dgms-12-sz7c7944;nmdc:dgms-12-efpsjd36;nmdc:dgms-12-yvw2c410;nmdc:dgms-12-d2mtgn65
nmdc:bsm-11-6y2dt532,4,nmdc:dgms-12-20rn3432;nmdc:dgms-12-atck6f34;nmdc:dgms-12-b1hs1y29;nmdc:dgms-12-tgb21528
nmdc:bsm-11-6ya0cs71,4,nmdc:dgms-12-qxaf0831;nmdc:dgms-12-pbdzzw24;nmdc:dgms-12-5vv7qe44;nmdc:dgms-12-bqrf8s04
nmdc:bsm-11-6z11g163,4,nmdc:dgms-12-2c7bh253;nmdc:dgms-12-a9npxv36;nmdc:dgms-12-dgn3ww92;nmdc:dgms-12-hfb8v904
nmdc:bsm-11-6zd5nb38,4,nmdc:dgms-12-mdkt1n34;nmdc:dgms-12-8t0w9s23;nmdc:dgms-12-g91eme27;nmdc:dgms-12-fqhvcb80
nmdc:bsm-11-73zqmh40,4,nmdc:dgms-12-3n6ey443;nmdc:dgms-12-29j0vh23;nmdc:dgms-12-m7vyqg60;nmdc:dgms-12-037pfq05
nmdc:bsm-11-766dwa91,4,nmdc:dgms-12-fsh07v97;nmdc:dgms-12-s1kqph23;nmdc:dgms-12-8v7mqp53;nmdc:dgms-12-3zy72628
nmdc:bsm-11-7bbm7795,4,nmdc:dgms-12-nhgse529;nmdc:dgms-12-dphg2k88;nmdc:dgms-12-m1xn4g66;nmdc:dgms-12-s2mc1z32
nmdc:bsm-11-7cfwd964,4,nmdc:dgms-12-6qy4s329;nmdc:dgms-12-k68qpk73;nmdc:dgms-12-5kjv8660;nmdc:dgms-12-rsrhyf65
nmdc:bsm-11-7j0fnc87,4,nmdc:dgms-12-sf09z976;nmdc:dgms-12-7by6x716;nmdc:dgms-12-n8gxkz52;nmdc:dgms-12-8k7z3692
nmdc:bsm-11-7n6p8d80,4,nmdc:dgms-12-mmt1c336;nmdc:dgms-12-6xc03q97;nmdc:dgms-12-knxfj346;nmdc:dgms-12-d1y25s26
nmdc:bsm-11-7pyrek52,4,nmdc:dgms-12-6jp7tt06;nmdc:dgms-12-st6rxq56;nmdc:dgms-12-p1r36b25;nmdc:dgms-12-9rqt0c12
nmdc:bsm-11-7yg2ne22,4,nmdc:dgms-12-mtp43v18;nmdc:dgms-12-jh8p1v83;nmdc:dgms-12-3wt90k83;nmdc:dgms-12-skrk8g24
