chem__LBCeq (mg/kg CaCO3/pH dry weight),chem__LBC (mg/kg CaCO3/pH dry weight),chem__Ca (Mehlich 1 mg/kg dry weight),denit__Rate (microgN/kilogram dry weight soil/day),chem__K (Mehlich 1 mg/kg dry weight),chem__Mg (Mehlich 1 mg/kg dry weight),chem__P (Mehlich 1 mg/kg dry weight),psize__Soil Clay Content %,psize__Soil Silt Content %,moist__Replicate 1 Mass Water / Mass Dry Soil %,moist__Replicate 2 Mass Water / Mass Dry Soil %,moist__Replicate 3 Mass Water / Mass Dry Soil %,chem__Mn (Mehlich 1 mg/kg dry weight),chem__NO3-N (mg/kg dry weight),soil_NO3,psize__Soil Sand Content %,chem__NH4-N (mg/kg dry weight),soil_NH4,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),chem__Zn (Mehlich 1 mg/kg dry weight)
3845.4,1326.0,1894.76,123.4431042,308.116,396.634,26.1369,17.12023751,32.16229589,34.13978495,34.86486486,34.32432432,37.8744,13.174,13.174,50.7174666,9.8355,9.8355,4.00945249,6.697
3593.1,1239.0,1480.06,59.06811811,114.646,219.335,12.9143,8.610567515,62.03522505,28.20512821,22.30392157,29.79274611,24.6956,9.3675,9.3675,29.35420744,12.972,12.972,2.194492256,2.3316
1348.5,465.0,1629.03,0.896153486,183.422,363.029,111.006,72.45151666,11.18846345,5.020920502,4.158004158,4.583333333,32.4044,0.345,0.345,16.36001989,5.292,5.292,0.146260619,2.7511
3865.7,1333.0,2497.39,161.9084696,187.743,474.784,31.98,19.57436278,47.01806484,20.96385542,17.68867925,17.28971963,38.6439,20.1785,20.1785,33.40757238,12.048,12.048,3.379957949,8.1467
1789.3,617.0,2511.03,33.38285657,315.919,502.777,75.0163,36.55753968,48.36309524,8.71459695,11.60714286,10.15452539,26.6171,,,15.07936508,2.6825,2.6825,1.331435719,4.0774
3161.0,1090.0,2774.35,,168.2,578.148,29.2294,17.97029703,53.21782178,32.53968254,28.27763496,29.45736434,48.0908,20.401,20.401,28.81188119,14.5245,14.5245,8.727053723,13.1545
3027.6,1044.0,3105.88,146.862814,227.611,488.095,26.0077,12.5,63.49601594,33.95721925,29.53367876,35.77235772,69.8454,29.8005,29.8005,24.00398406,8.712,8.712,5.618056079,13.4053
1525.4,526.0,2421.86,7.48438395,307.14,404.477,111.231,60.74400392,25.69750367,7.051282051,8.423326134,8.441558442,23.0194,1.133,1.133,13.55849241,2.544,2.544,0.974449348,4.4079
2018.4,696.0,2720.05,57.59394219,362.021,477.527,97.622,46.78175092,35.31442663,6.396588486,7.75862069,7.543103448,28.0189,1.3175,1.3175,17.90382244,3.517,3.517,1.186450291,4.6939
4080.3,1407.0,1988.48,120.055508,268.979,321.64,19.4463,6.134663342,61.09725686,33.15649867,27.87723785,32.10526316,29.052,15.752,15.752,32.7680798,12.638,12.638,4.174026383,5.7829
1020.8,352.0,1673.1,11.45178667,146.784,331.686,100.59,77.66798419,13.58695652,5.031446541,5.263157895,5.485232068,10.6006,0.863,0.863,8.745059289,1.616,1.616,0.291314039,2.0413
2233.0,770.0,2801.61,52.1467457,182.487,532.26,57.839,35.38461538,45.9057072,12.64108352,12.61261261,12.08053691,36.8497,1.459,1.459,18.70967742,4.1675,4.1675,2.176778025,7.6784
,,,,,,,61.5403604,25.91952604,,,,,,,12.54011355,,,,
3630.8,1252.0,2219.35,,441.338,379.527,30.5648,11.40939597,63.38553318,35.86956522,33.78016086,33.95721925,34.6609,27.6905,27.6905,25.20507084,10.599,10.599,6.183014905,5.5536
2157.6,744.0,2272.29,35.7781967,140.475,509.772,26.0245,32.1191238,49.2247108,12.13483146,11.35857461,12.08053691,24.528,0.2795,0.2795,18.6561654,3.519,3.519,2.062614259,2.8673
3845.4,1326.0,2603.97,574.9299714,122.144,438.159,20.8722,11.42714571,54.89021956,39.77591036,40.33613445,39.27576602,40.7316,9.161,9.161,33.68263473,14.851,14.851,4.063196629,8.1703
1586.3,547.0,2240.05,100.011026,160.591,435.555,75.121,42.93424926,44.60255152,10.86474501,12.38738739,11.33333333,22.0105,2.1515,2.1515,12.46319921,3.1565,3.1565,1.550507064,2.2636
1621.1,559.0,2432.99,11.10213701,208.872,447.272,108.677,38.68795211,45.69718134,6.396588486,6.369426752,6.609808102,22.3931,0.746,0.746,15.61486655,3.5105,3.5105,0.960902502,2.4071
2056.1,709.0,2689.35,7.844722495,171.439,575.398,108.571,44.84952288,39.1485197,36.14130435,35.96730245,34.95934959,56.1875,0.516,0.516,16.00195743,4.1305,4.1305,0.521684292,6.3205
