,count,mean,std,min,25%,50%,75%,max
Sphingomonas sp. KC8,105.0,0.01969523809523808,0.011189043240808785,0.005,0.013,0.016,0.021,0.066
Sphingomonas sp. LK11,105.0,0.07937142857142855,0.0622552526580407,0.018,0.042,0.0569999999999999,0.088,0.378
Sphingomonas sp. LM7,105.0,0.03987619047619047,0.029072090514554453,0.009,0.022,0.03,0.045,0.159
Sphingomonas sp. MM-1,105.0,0.03420952380952381,0.019359302692313084,0.01,0.023,0.027,0.036,0.108
Sphingomonas sp. NIC1,105.0,0.021085714285714277,0.011639715075248495,0.005,0.013,0.018,0.024,0.062
Sphingomonas sp. YZ-8,105.0,0.009828571428571414,0.004403794567575405,0.003,0.0069999999999999,0.009,0.011,0.027
Sphingomonas taxi,105.0,0.043104761904761896,0.024447716508722087,0.011,0.026,0.036,0.053,0.133
Sphingomonas wittichii,105.0,0.05769523809523809,0.029740584744627676,0.017,0.039,0.049,0.063,0.175
Sphingopyxis alaskensis,105.0,0.014276190476190467,0.009017605897199991,0.004,0.009,0.012,0.016,0.059
Sphingopyxis fribergensis,105.0,0.027933333333333327,0.038345912094498086,0.006,0.0139999999999999,0.017,0.024,0.266
Sphingopyxis granuli,105.0,0.013628571428571417,0.006953495444817588,0.004,0.009,0.012,0.015,0.043
Sphingopyxis macrogoltabida,105.0,0.040495238095238084,0.02729261798246911,0.011,0.026,0.032,0.044,0.183
Sphingopyxis sp. 113P3,105.0,0.01459047619047618,0.00743134633999173,0.004,0.01,0.013,0.016,0.048
Sphingopyxis sp. EG6,105.0,0.015676190476190465,0.013035819910255002,0.004,0.009,0.012,0.016,0.094
Sphingopyxis sp. FD7,105.0,0.015123809523809513,0.009829014386474561,0.004,0.01,0.012,0.016,0.065
Sphingopyxis sp. LPB0140,105.0,0.0016380952380952384,0.0007981205028041423,0.0,0.001,0.002,0.002,0.005
Sphingopyxis sp. MG,105.0,0.006742857142857127,0.0028114756987026573,0.002,0.005,0.006,0.008,0.022
Sphingopyxis sp. QXT-31,105.0,0.023209523809523794,0.017954373389498277,0.0069999999999999,0.0139999999999999,0.017,0.024,0.132
Sphingopyxis sp. WS5A3p,105.0,0.018838095238095223,0.012260100866635372,0.006,0.012,0.015,0.02,0.082
Sphingopyxis terrae,105.0,0.04779047619047618,0.02871099201126743,0.0139999999999999,0.031,0.038,0.053,0.176
Sphingorhabdus flavimaris,105.0,0.00669523809523808,0.003174791966303307,0.002,0.005,0.006,0.0069999999999999,0.019
Sphingorhabdus sp. Alg231-15,105.0,0.0024095238095238085,0.0011823643042587757,0.001,0.002,0.002,0.003,0.0069999999999999
Sphingorhabdus sp. M41,105.0,0.0063619047619047535,0.00284241165725586,0.002,0.005,0.006,0.0069999999999999,0.018
Sphingorhabdus sp. YGSMI21,105.0,0.0085238095238095,0.004192702538787439,0.003,0.006,0.0069999999999999,0.01,0.027
Spirochaeta thermophila,105.0,0.002942857142857141,0.0015431521899406633,0.001,0.002,0.003,0.004,0.0069999999999999
Sporosarcina psychrophila,105.0,0.0010476190476190477,0.0013472261558544337,0.0,0.0,0.001,0.001,0.011
Staphylococcus aureus,105.0,0.0007809523809523811,0.0005185214256561331,0.0,0.0,0.001,0.001,0.002
Staphylococcus epidermidis,105.0,7.61904761904762e-05,0.000300488003575917,0.0,0.0,0.0,0.0,0.002
Stenotrophomonas acidaminiphila,105.0,0.03888571428571428,0.025119833676918408,0.013,0.027,0.033,0.04,0.168
Stenotrophomonas maltophilia,105.0,0.10447619047619046,0.07987936761118837,0.042,0.071,0.0849999999999999,0.104,0.657
Stenotrophomonas nitritireducens,105.0,0.00035238095238095054,0.001640713683718572,0.0,0.0,0.0,0.0,0.013
Stenotrophomonas rhizophila,105.0,0.13775238095238093,0.3613929456590999,0.012,0.02,0.027,0.05,2.51
Stenotrophomonas sp. ESTM1D_MKCIP4_1,105.0,0.008209523809523793,0.0067733857544624325,0.004,0.005,0.006,0.008,0.054
