soil_column
soil_pH
soil_NH4
soil_NO3
soil_total_C
soil_total_N
Sphingobacterium mizutaii
Sphingobacterium sp. 21
Sphingobacterium sp. B29
Sphingobacterium sp. G1-14
Sphingobacterium sp. ML3W
Sphingobium baderi
Sphingobium chlorophenolicum
Sphingobium cloacae
Sphingobium herbicidovorans
Sphingobium hydrophobicum
Sphingobium indicum
Sphingobium japonicum
Sphingobium sp. EP60837
Sphingobium sp. MI1205
Sphingobium sp. RAC03
Sphingobium sp. SCG-1
Sphingobium sp. SYK-6
Sphingobium sp. TKS
Sphingobium sp. YBL2
Sphingobium sp. YG1
Sphingobium yanoikuyae
Sphingomonas hengshuiensis
Sphingomonas indica
Sphingomonas koreensis
Sphingomonas melonis
Sphingomonas panacis
Sphingomonas sanxanigenens
Sphingomonas sp. Cra20
Sphingomonas sp. FARSPH
Sphingomonas sp. JJ-A5
Sphingomonas sp. KC8
Sphingomonas sp. LK11
Sphingomonas sp. LM7
Sphingomonas sp. MM-1
Sphingomonas sp. NIC1
Sphingomonas sp. YZ-8
Sphingomonas taxi
Sphingomonas wittichii
Sphingopyxis alaskensis
Sphingopyxis fribergensis
Sphingopyxis granuli
Sphingopyxis macrogoltabida
Sphingopyxis sp. 113P3
Sphingopyxis sp. EG6
Sphingopyxis sp. FD7
Sphingopyxis sp. LPB0140
Sphingopyxis sp. MG
Sphingopyxis sp. QXT-31
Sphingopyxis sp. WS5A3p
Sphingopyxis terrae
Sphingorhabdus flavimaris
Sphingorhabdus sp. Alg231-15
Sphingorhabdus sp. M41
Sphingorhabdus sp. YGSMI21
Spirochaeta thermophila
Sporosarcina psychrophila
Staphylococcus aureus
Staphylococcus epidermidis
Stenotrophomonas acidaminiphila
Stenotrophomonas maltophilia
Stenotrophomonas nitritireducens
Stenotrophomonas rhizophila
Stenotrophomonas sp. ESTM1D_MKCIP4_1
Stenotrophomonas sp. G4
Stenotrophomonas sp. LM091
Stenotrophomonas sp. MYb57
Stenotrophomonas sp. Pemsol
Stenotrophomonas sp. SAU14A_NAIMI4_5
Stenotrophomonas sp. SAU14A_NAIMI4_8
Stenotrophomonas sp. WZN-1
Stenotrophomonas sp. YAU14A_MKIMI4_1
Stenotrophomonas sp. YAU14D1_LEIMI4_1
Stenotrophomonas sp. ZAC14A_NAIMI4_1
Stenotrophomonas sp. ZAC14D2_NAIMI4_6
Stenotrophomonas sp. ZAC14D2_NAIMI4_7
Streptacidiphilus sp. DSM 106435
Streptococcus thermophilus
Streptomyces phage Nanodon
Streptomyces phage phiHau3
Streptomyces phage phiSASD1
Streptomyces virus phiBT1
Streptomyces virus phiC31
Symbiobacterium thermophilum
Syntrophobacter fumaroxidans
Syntrophobotulus glycolicus
Syntrophomonas wolfei
Syntrophothermus lipocalidus
Syntrophus aciditrophicus
Tateyamaria omphalii
Tenacibaculum mesophilum
Thermacetogenium phaeum
Thermoanaerobacter siderophilus
Thermodesulfobium acidiphilum
Thermotoga petrophila
Thermus thermophilus
