Field Sample ID,Soil Sand Content %,Soil Clay Content %,Soil Silt Content %
BESC-351-Cl1_27_10,32.7680798,6.134663342,61.09725686
BESC-388-Co2_54_7,8.758040574,62.79069767,28.45126175
BESC-388-Co3_8_57,21.04484968,45.6875308,33.26761952
BESC-388-Cl3_88_3,29.27191679,3.863298663,66.86478455
BESC-448-Cl1_35_3,31.43697891,14.61500736,53.94801373
BESC-448-Cl3_88_32,34.19099456,6.432459179,59.37654626
BESC-470-Cl2_38_23,27.9437176,9.108862009,62.94742039
BESC-56-Co1_22_4,13.8667992,51.34194831,34.79125249
BESC-56-Co2_51_16,12.54011355,61.5403604,25.91952604
BESC-56-Co3_6_53,17.4386921,30.54248204,52.01882586
BESC-833-Co3_31_37,25.66609631,54.77878269,19.555121
BESC-833-Cl2_42_16,33.68263473,11.42714571,54.89021956
BESC-833-Co2_47_23,13.55849241,60.74400392,25.69750367
BESC-833-Co1_6_4,12.61171797,49.7020854,37.68619662
BESC-833-Cl3_77_6,33.40757238,19.57436278,47.01806484
BESC-845-Co1_24_3,19.93584999,39.35356526,40.71058475
BESC-845-Co3_28_42,20.03471361,43.56558393,36.39970245
BESC-845-Cl1_31_22,24.44610406,10.82897685,64.72491909
BESC-845-Cl2_37_16,28.0128681,13.8332096,58.1539223
BESC-845-Co2_60_28,13.79821958,78.78338279,7.418397626
BESC-845-Cl3_80_19,28.187251,7.071713147,64.74103586
BESC-847-Co1_12_9,18.04623415,50.08699975,31.86676609
BESC-847-Cl1_28_5,28.63545817,21.56374502,49.80079681
BESC-847-Cl2_38_7,48.49539915,34.09599602,17.40860482
BESC-847-Co2_69_13,16.82429069,73.66849179,9.507217521
BESC-847-Cl3_83_27,39.5256917,7.361660079,53.11264822
BESC-847-Co3_9_34,21.21137206,42.94190358,35.84672435
BESC-866-Co3_27_48,16.23231571,47.77860511,35.98907918
BESC-866-Cl2_50_11,20.75195313,41.40625,37.84179688
BESC-866-Co2_58_19,26.17148554,23.9780658,49.85044865
BESC-86-Cl2_69_17,14.94309748,62.79069767,22.26620485
BESC-866-Cl3_75_7,31.88619083,10.47338729,57.64042188
GW-4579-Co3_14_51,23.13843078,33.5832084,43.27836082
GW-4579-Cl1_25_23,29.79885771,5.984603924,64.21653837
SKWD-24-1-Co3_24_32,12.53083374,74.69166256,12.7775037
