Field Sample ID,LBC (mg/kg CaCO3/pH dry weight),LBCeq (mg/kg CaCO3/pH dry weight),pH,Ca (Mehlich 1 mg/kg dry weight),K (Mehlich 1 mg/kg dry weight),Mg (Mehlich 1 mg/kg dry weight),Mn (Mehlich 1 mg/kg dry weight),P (Mehlich 1 mg/kg dry weight),Zn (Mehlich 1 mg/kg dry weight),NH4-N (mg/kg dry weight),NO2-N (mg/kg dry weight),NO3-N (mg/kg dry weight),C (%),N (%)
BESC-13-Co2_41_23,597,1731.3,6.71,2453.12,313.501,435.482,24.2299,103.111,5.016,4.1705,<0.20,<0.20,2.607,0.166
BESC-351-Co1_10_3,605,1754.5,6.61,2448.33,169.281,471.495,25.1614,105.396,2.3241,3.556,<0.23,5.8955,1.709,0.29
BESC-351-Co2_42_17,613,1777.7,6.83,2416.72,486.729,470.753,23.0525,115.561,3.1215,2.7635,<0.20,2.8535,2.051,0.35
GW-9591-Co3_35_48,614,1780.6,6.88,2419.11,550.042,469.368,26.6335,89.8775,3.4032,4.7875,3.2,4.642,1.899,0.121
BESC-331-Co3_15_40,617,1789.3,6.95,2511.03,315.919,502.777,26.6171,75.0163,4.0774,2.6825,<0.20,<0.20,1.964,0.131
BESC-13-Co1_30_3,619,1795.1,6.57,2229.22,383.201,440.445,20.3272,98.0889,2.1278,5.0705,<0.20,3.004,1.552,0.328
BESC-388-Co1_32_7,624,1809.6,6.55,2397.08,300.262,460.744,29.5902,109.603,4,3.5615,<0.21,1.928,2.135,0.374
SKWA-24-3-Co1_3_5,624,1809.6,6.6,2484.13,200.324,457.321,30.0327,108.302,3.9728,3.524,<0.20,2.111,2.203,0.309
BESC-847-Co3_9_34,630,1827,6.55,2534.64,200.771,469.339,21.5092,90.0195,2.5555,3.358,<0.20,1.5495,1.921,0.111
BESC-845-Co3_28_42,636,1844.4,6.81,2254.4,395.228,442.037,25.3905,78.6293,3.6902,3.002,0.297,1.333,2.12,0.144
GW-4579-Co2_44_8,652,1890.8,6.37,2449.89,255.944,450.242,26.1187,102.823,4.4023,3.9165,<0.20,2.0535,2.369,0.374
BESC-904-Co3_16_51,653,1893.7,6.72,2440.33,206.03,493.054,26.9571,82.1159,2.8401,4.446,<0.20,2.935,1.968,0.131
BESC-388-Co1_32_7,664,1925.6,6.59,2351.52,289.816,445.767,26.6471,103.071,3.8888,3.226,<0.21,2.1155,2.267,0.393
BESC-307-Co3_27_41,675,1957.5,6.62,2477.56,257.767,485.365,27.5555,57.0954,2.7486,3.956,<0.20,1.6095,2.502,0.17
BESC-845-Co1_24_3,677,1963.3,6.6,2435.54,210.143,502.549,29.6194,112.004,4.0575,3.6545,<0.21,1.111,2.163,0.4
BESC-351-Co3_11_46,690,2001,6.48,2431.98,138.724,509.653,32.3007,77.2296,2.8379,4.4525,<0.20,0.4225,2.239,0.151
BESC-904-Co1_5_9,696,2018.4,6.7,2720.05,362.021,477.527,28.0189,97.622,4.6939,3.517,<0.20,1.3175,2.801,0.316
BESC-133-Co1_27_3,709,2056.1,7.07,2689.35,171.439,575.398,56.1875,108.571,6.3205,4.1305,<0.20,0.516,2.293,0.323
BESC-133-Co1_27_3,713,2067.7,7,2625.84,168.928,536.746,56.4224,107.39,4.429,3.8115,<0.21,0.4135,1.99,0.366
BESC-360-Co3_13_34,718,2082.2,6.84,2833.61,252.17,517.121,28.365,88.6809,5.7041,4.09,<0.20,<0.20,2.593,0.164
BESC-307-Co3_27_41,725,2102.5,6.23,2596,154.895,456.241,25.9704,87.4508,2.112,4.844,0.4245,2.1,2.315,0.172
GW-4579-Co1_14_4,726,2105.4,6.42,2547.83,166.389,481.129,25.2036,100.333,2.948,3.7375,<0.20,1.8265,2.311,0.35
GW-4579-Co1_14_4,732,2122.8,6.4,2598.35,179.191,516.737,26.229,98.8311,3.1196,3.063,<0.20,1.989,2.156,0.392
BESC-13-Co3_21_57,744,2157.6,6.64,2272.29,140.475,509.772,24.528,26.0245,2.8673,3.519,<0.20,0.2795,2.878,0.194
BESC-234-Co3_21_62,770,2233,7.02,2801.61,182.487,532.26,36.8497,57.839,7.6784,4.1675,0.98,1.459,3.397,0.2
BESC-388-Co3_8_57,784,2273.6,6.76,2749.71,240.767,519.957,36.5312,56.3999,5.1577,4.193,<0.20,<0.20,2.971,0.195
GW-4579-Co3_14_51,810,2349,6.62,2631.36,203.92,557.714,30.7649,51.4213,3.1255,5.5805,<0.20,4.5255,2.53,0.173
BESC-234-Co3_21_62,821,2380.9,7.07,2946.31,201.367,568.288,35.6361,49.9193,7.7941,4.6925,2.8925,3.8945,3.479,0.2
BESC-388-Cl1_25_34,880,2552,5.86,2571.42,233.794,437.842,45.54,32.6151,9.6995,9.1955,<0.19,20.428,3.578,0.296
BESC-133-Cl3_93_10,907,2630.3,6.13,2846.2,293.535,584.535,47.9096,51.0021,12.4877,7.2585,0.565,24.361,3.729,0.275
BESC-234-Cl1_24_28,926,2685.4,5.88,3142.88,236.02,497.042,68.424,26.2487,13.7739,9.0625,<0.20,29.4905,4.369,0.335
BESC-307-Cl1_26_33,938,2720.2,5.94,2495.69,315.498,416.181,47.2246,51.1113,7.9155,31.937,6.595,12.513,3.442,0.303
GW-4579-Cl1_25_23,945,2740.5,5.63,2257.22,225.714,395.375,38.9692,20.9366,6.5758,15.59,<0.20,21.7185,4.409,0.318
BESC-13-Cl3_85_26,952,2760.8,5.45,2560.03,281.533,473.952,49.359,33.4455,7.4091,7.145,<0.20,18.9885,3.87,0.322
