mg_feature,n_metabolites,mean_importance,max_importance,mean_abs_corr
Streptomyces cattleya,5,0.009901273156219527,0.02955759723372077,0.5365981720242716
Chryseolinea sp. KIS68-18,5,0.012319561748548367,0.02073480933904648,0.5120979073514427
Nocardiopsis gilva,5,0.011258519746768562,0.020689085310307182,0.6121269060325407
Mycolicibacterium rhodesiae,5,0.010745091014957084,0.019776402041316032,0.19070998213754511
Homo sapiens,5,0.007693812684085496,0.013337114273716722,0.5038383943000921
Agromyces aureus,4,0.056960408151024634,0.17247624450612925,0.12389354752670195
Mycobacterium colombiense,4,0.03399267358744005,0.10052104191073355,0.5528082175197974
Azospira oryzae,4,0.034705089450589234,0.08651238260852007,0.4405834838800015
Polynucleobacter asymbioticus,4,0.030426795490324277,0.061104153875977396,0.5774780966930663
Mycobacterium shigaense,4,0.02254255339396745,0.059662714953296975,0.5783313274299718
Methylotenera versatilis,4,0.02128742458518663,0.05821358947113813,0.5615269406524344
Mycobacterium marseillense,4,0.02537348036637317,0.05097685377091449,0.5409575966099024
Pseudomonas entomophila,4,0.01996057213180484,0.0466437847498346,0.4074565783389034
Mesorhizobium amorphae,4,0.017625552969573917,0.03871301742810855,0.39642900038641765
Terriglobus roseus,4,0.01534565012100623,0.0383129252698816,0.5179673379317943
Acidobacterium capsulatum,4,0.012323823274046063,0.03348806968260604,0.5727351563621967
Micromonospora auratinigra,4,0.012131926102023413,0.03260273461790531,0.6084465470127896
Micromonospora narathiwatensis,4,0.011112053723482425,0.027114903550587356,0.6021929909367557
Rhizobium leguminosarum,4,0.011376442687622614,0.022713067993269928,0.4386398573431848
Frankia symbiont of Datisca glomerata,4,0.012008216780846386,0.018330413848161697,0.49168025096912693
Opitutus sp. GAS368,4,0.011442032392542444,0.016905754804611206,0.5012278439159045
Acinetobacter baumannii,4,0.010312123664970209,0.016415199370220252,0.08911868599255207
Rhodococcus sp. p52,4,0.009147290860612244,0.015434813685715199,0.5298802013119531
Rhizobium phage RHEph10,4,0.008147900183649104,0.015424610017590192,0.28233680409319617
Intrasporangium calvum,4,0.007382613402489161,0.015405175075008312,0.5460572007688272
Nocardiopsis alba,4,0.010322001688060762,0.014111608610138741,0.5379153884846964
Spongiibacter sp. IMCC21906,4,0.009236236272071433,0.013125536032021046,0.46025538404134947
Caulobacter vibrioides,4,0.009313199441833155,0.011159446090459824,0.24075349084314127
Nocardia cyriacigeorgica,4,0.005402243530679623,0.010338055161290806,0.47949438360266333
Rhizobium jaguaris,4,0.009178232687400083,0.010030241152229792,0.20570982354906453
Amycolatopsis methanolica,4,0.008419027421847053,0.009892334798021154,0.5216975968535884
Streptomyces globosus,4,0.006963508107507618,0.008109440491079223,0.5268214917036338
Kibdelosporangium phytohabitans,4,0.005356589765525029,0.007854547561208838,0.5248269351874028
Cupriavidus pauculus,4,0.005652515172021975,0.006911710259129639,0.3043946682778662
Bradyrhizobium icense,4,0.006058645780167204,0.006440355822781691,0.3074338171948545
Acidisphaera sp. G45-3,3,0.055632256284123556,0.10244999825954437,0.5775776112027526
