feature,metabolite,importance,importance_sum,n_occurrences,feature_type,feature_category,feature_clean,metabolite_short
Pseudomonas umsongensis,C18_negative|IK:CUCUKLJLRRAKFN-UHFFFAOYSA-N,0.0327333729230505,0.0327333729230505,1,microbe,microbe_Pseudomonas,Pseudomonas,C18_negative|IK:CUCUKLJLRR
Rahnella sp. ERMR1:05,C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.0254908647377133,0.0254908647377133,1,microbe,microbe_other,Rahnella sp. ERMR1:05,C18_negative|IK:AIONOLUJZL
Rhizobium sp. NXC24,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N,0.0233325241418988,0.0233325241418988,1,microbe,microbe_Rhizobium,Rhizobium,C18_negative|IK:DANYIYRPLH
Rhodoferax koreense,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,0.0263298783615246,0.0263298783615246,1,microbe,microbe_other,Rhodoferax koreense,C18_negative|IK:CKEXCBVNKR
Serratia sp. 3ACOL1,C18_negative|IK:CQSLTKIXAJTQGA-FLIBITNWSA-N,0.0301641175097652,0.0301641175097652,1,microbe,microbe_Serratia,Serratia,C18_negative|IK:CQSLTKIXAJ
Serratia sp. SCBI,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N,0.0211233431733724,0.0211233431733724,1,microbe,microbe_Serratia,Serratia,C18_negative|IK:DANYIYRPLH
Stenotrophomonas nitritireducens,C18_negative|IK:BJHIKXHVCXFQLS-PQLUHFTBSA-N,0.0184645218646031,0.0184645218646031,1,microbe,microbe_other,Stenotrophomonas nitritireducens,C18_negative|IK:BJHIKXHVCX
Stenotrophomonas rhizophila,C18_negative|IK:CUCUKLJLRRAKFN-UHFFFAOYSA-N,0.0236052928754105,0.0236052928754105,1,microbe,microbe_other,Stenotrophomonas rhizophila,C18_negative|IK:CUCUKLJLRR
Streptomyces virus Amela,C18_negative|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N,0.0495161011524641,0.0495161011524641,1,microbe,microbe_Streptomyces,Streptomyces,C18_negative|IK:CZDNLUMNEL
Sulfuricurvum kujiense,C18_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,0.0372555561055969,0.0372555561055969,1,microbe,microbe_other,Sulfuricurvum kujiense,C18_negative|IK:BJRNKVDFDL
Sulfurihydrogenibium sp. YO3AOP1,C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,0.0392803569857426,0.0392803569857426,1,microbe,microbe_other,Sulfurihydrogenibium sp. YO3AOP1,C18_negative|IK:BJRNKVDFDL
denit__Rate (microgN/kilogram dry weight soil/day),C18_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,0.0235432306602727,0.0235432306602727,1,soil,nitrogen,denit__Rate (microgN/kilogram dry weight soil/day),C18_negative|IK:BJRNKVDFDL
moist__Replicate 1 Mass Water / Mass Dry Soil %,C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,0.0409606397421808,0.0409606397421808,1,soil,moisture,moist__Replicate 1 Mass Water / Mass Dry Soil %,C18_negative|IK:AJFTWGKYXH
moist__Replicate 1 Mass Water / Mass Dry Soil %,C18_negative|IK:DJOJDHGQRNZXQQ-UHFFFAOYSA-N,0.0232279451887901,0.0232279451887901,1,soil,moisture,moist__Replicate 1 Mass Water / Mass Dry Soil %,C18_negative|IK:DJOJDHGQRN
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),C18_negative|IK:DJOJDHGQRNZXQQ-UHFFFAOYSA-N,0.0475479348907934,0.0475479348907934,1,soil,nitrogen,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),C18_negative|IK:DJOJDHGQRN
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),C18_negative|IK:BLUAFEHZUWYNDE-DCJAHCNHSA-N,0.0371983376759741,0.0371983376759741,1,soil,nitrogen,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),C18_negative|IK:BLUAFEHZUW
psize__Soil Clay Content %,C18_negative|IK:DRTQHJPVMGBUCF-XVFCMESISA-N,0.055582784714498,0.055582784714498,1,soil,texture,psize__Soil Clay Content %,C18_negative|IK:DRTQHJPVMG
psize__Soil Clay Content %,C18_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,0.0252738195537282,0.0252738195537282,1,soil,texture,psize__Soil Clay Content %,C18_negative|IK:DRTQHJPVMG
psize__Soil Sand Content %,C18_negative|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N,0.0690000312087457,0.0690000312087457,1,soil,texture,psize__Soil Sand Content %,C18_negative|IK:CZDNLUMNEL
soil_NH4,C18_negative|IK:CUCUKLJLRRAKFN-UHFFFAOYSA-N,0.0293658956553038,0.0293658956553038,1,soil,nitrogen,soil_NH4,C18_negative|IK:CUCUKLJLRR
soil_total_C,C18_negative|IK:CFJLERBDXYGARW-TVKJYDDYSA-N,0.1912085677396417,0.1912085677396417,1,soil,carbon,soil_total_C,C18_negative|IK:CFJLERBDXY
