mg_feature,n_metabolites,mean_importance,max_importance,mean_abs_corr
Corynebacterium marinum,3,0.0032542740404854146,0.0033049313684085867,0.5091641537740005
Kocuria sp. BT304,3,0.0031101579490474284,0.003260181413733274,0.5220233098559887
Rhodococcus ruber,3,0.002914196937696494,0.0029789721492474003,0.46777979458796665
Pseudomonas entomophila,2,0.005711073419090103,0.008092014015183079,0.5343731558329344
Nostoc sp. PCC 7524,2,0.0077200261488303955,0.007954017674684098,0.18331021524238095
Alteromonas mediterranea,2,0.006575425243485771,0.00687952696183089,0.5428855674753872
Dichelobacter nodosus,2,0.0055692108477075845,0.006366311209421325,0.5325582968783011
Rickettsia rickettsii,2,0.004732958660375352,0.00569785199708502,0.44272944043650553
Wolbachia endosymbiont of Drosophila melanogaster,2,0.00354898403005923,0.004499355903533022,0.4368493505988631
Candidatus Solibacter usitatus,2,0.004075255939782888,0.004347243042956571,0.535575381346034
Methylomonas koyamae,2,0.004127172224097383,0.00432799206742206,0.4871476976176873
Pelodictyon phaeoclathratiforme,2,0.003851094610916727,0.004317294364375124,0.5248871213421418
Mycobacterium colombiense,2,0.0037274018295749955,0.004261334241938793,0.5870481547226263
Tannerella forsythia,2,0.003790526994661589,0.004099620653097197,0.51199111675833
Flavobacterium indicum,2,0.003906670654073399,0.0040915380205439065,0.4986531026739702
Exiguobacterium sp. AT1b,2,0.003997080615201733,0.004038737421593865,0.501768851103665
Neisseria elongata,2,0.0036565380364880695,0.003934846903942516,0.45899249361967176
Bifidobacterium breve,2,0.0034819561100507953,0.003913329720298766,0.5186371188551993
Halogeometricum borinquense,2,0.003878050618951764,0.003886107475065406,0.47446223176774166
Corynebacterium simulans,2,0.003599135537963579,0.0038535772209437776,0.5147503635414515
Maribacter sp. T28,2,0.0035684880969861534,0.0038150014997570224,0.3299957724852298
Endomicrobium proavitum,2,0.0035670343705536877,0.003804540897533511,0.48398824788784456
Saccharopolyspora erythraea,2,0.00373057297576199,0.0037665046941042233,0.6141970720986618
Massilia sp. YMA4,2,0.003497159517123232,0.003726974019194186,0.5374739574931456
Corynebacterium mustelae,2,0.003535122057002287,0.0036968289188568323,0.5551838378383454
Carboxydocella thermautotrophica,2,0.00336732802067706,0.003430889429222903,0.5386189413899631
Dehalobacter restrictus,2,0.0031449574617643315,0.0032741947795195086,0.513114509814234
Leptospira biflexa,2,0.0030375603122343416,0.0031484159546224756,0.40887847476784595
Bdellovibrio bacteriovorus,2,0.002811960515010585,0.003134672688449646,0.35621981870330266
Acidiphilium multivorum,2,0.003109308439037798,0.0031157034788793503,0.5464246198600629
Pseudonocardia sp. AL041005-10,2,0.002603900084763794,0.0030711272251427836,0.45456110291291085
Micropruina glycogenica,2,0.0028534699970318433,0.0030210864648051285,0.4455081990211436
Rhodococcus sp. p52,2,0.002770797054520867,0.0029895042505357276,0.5350001153426595
Tenacibaculum maritimum,2,0.002776836739719596,0.0029722564040348966,0.06841996723346846
Micromonospora siamensis,2,0.0028059677983739094,0.0028793644190152415,0.4958078066530017
Auraticoccus monumenti,2,0.0026917727202374936,0.002778495411320256,0.48792536528134234
[Bacillus] selenitireducens,2,0.0026177489592294164,0.0027109326005386593,0.49563518617033886
Nostoc sp. CENA543,1,0.008626684506198223,0.008626684506198223,0.39749134192956426
Gallaecimonas sp. HK-28,1,0.008204504192003498,0.008204504192003498,0.4196703133034109
Serratia sp. FS14,1,0.00818775863597507,0.00818775863597507,0.14012645074581465
Desulfosporosinus acidiphilus,1,0.00761858959791867,0.00761858959791867,0.3811153133565601
Clostridioides difficile,1,0.007406587201620697,0.007406587201620697,0.4519586125914736
Neisseria weaveri,1,0.007174756078483118,0.007174756078483118,0.525310931898195
Shewanella sp. ANA-3,1,0.0070072380516973875,0.0070072380516973875,0.2592612601198283
Borreliella bavariensis,1,0.006944895209345158,0.006944895209345158,0.2024890606267672
Corynebacterium resistens,1,0.0067118471256832745,0.0067118471256832745,0.5419434283756767
Persephonella marina,1,0.006109290462596135,0.006109290462596135,0.17191809595819035
Desulfotalea psychrophila,1,0.005864087817189407,0.005864087817189407,0.5389605392456797
Oxalobacter formigenes,1,0.005816599283547205,0.005816599283547205,0.4127537851152015
