feature,mean_imp,freq,score
Microcystis sp. MC19,0.00530182035595395,2,0.0106036407119079
Variovorax sp. HW608,0.0102310185338402,1,0.0102310185338402
Lactobacillus crispatus,0.0102039796140173,1,0.0102039796140173
Neisseria sp. 10023,0.0100977892291369,1,0.0100977892291369
Enterobacter hormaechei,0.0100777190632156,1,0.0100777190632156
Streptomyces lividans,0.0099911859357575,1,0.0099911859357575
Hymenobacter sp. PAMC 26554,0.00989169843023,1,0.00989169843023
Alteromonas macleodii,0.0098138047382671,1,0.0098138047382671
Brucella sp. 141012304,0.0098036698367496,1,0.0098036698367496
blood disease bacterium A2-HR MARDI,0.0096990323967628,1,0.0096990323967628
Microbacterium sp. BH-3-3-3,0.0096781967734024,1,0.0096781967734024
Azospira oryzae,0.009650782509488,1,0.009650782509488
Wolbachia endosymbiont of Drosophila melanogaster,0.0096403958824174,1,0.0096403958824174
Anabaena cylindrica,0.0096163555487405,1,0.0096163555487405
Streptomyces albulus,0.0095448899045345,1,0.0095448899045345
Treponema primitia,0.0092933594156525,1,0.0092933594156525
Rhizobium sp. 11515TR,0.0092202713711442,1,0.0092202713711442
Actinoplanes teichomyceticus,0.0091251933617968,1,0.0091251933617968
Flavobacterium indicum,0.0089157647512839,1,0.0089157647512839
Rhodococcus erythropolis,0.0088564184084569,1,0.0088564184084569
Bacillus velezensis,0.0088544868786956,1,0.0088544868786956
Mobiluncus curtisii,0.0087629827152819,1,0.0087629827152819
Pseudomonas vancouverensis,0.0087537626739182,1,0.0087537626739182
Bifidobacterium longum,0.0087268806794901,1,0.0087268806794901
Halotalea alkalilenta,0.0085297120704084,1,0.0085297120704084
Clostridium butyricum,0.0085082815070273,1,0.0085082815070273
Pseudomonas alkylphenolica,0.0084584541259426,1,0.0084584541259426
Mesorhizobium sp. DCY119,0.0084392737181332,1,0.0084392737181332
Streptomyces globosus,0.0084201597424061,1,0.0084201597424061
Rhodoferax saidenbachensis,0.0083707988797613,1,0.0083707988797613
Amycolatopsis keratiniphila,0.0083368962394304,1,0.0083368962394304
Jiangella sp. DSM 45060,0.0082789560980979,1,0.0082789560980979
Streptomyces hundungensis,0.0082478636454464,1,0.0082478636454464
Streptomyces virus Sujidade,0.0082324530812285,1,0.0082324530812285
Vibrio natriegens,0.0081879012051368,1,0.0081879012051368
chem__LBC (mg/kg CaCO3/pH dry weight),0.0080946515059775,1,0.0080946515059775
Bacillus muralis,0.0080901576841787,1,0.0080901576841787
Corynebacterium camporealensis,0.0080562556371833,1,0.0080562556371833
Candidatus Koribacter versatilis,0.0080100465090212,1,0.0080100465090212
Pseudomonas granadensis,0.0079346816561363,1,0.0079346816561363
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,0.0079036197710101,1,0.0079036197710101
Streptomyces griseochromogenes,0.0078601826834037,1,0.0078601826834037
Herbaspirillum sp. meg3,0.0078509486235647,1,0.0078509486235647
