host_id,nmdc_biosample_id,metagenome_accession,metabolomics_id,soil_pH,soil_NH4,soil_NO3,soil_total_C,soil_total_N,keep_for_analysis,notes,gold_project_id,metabolomics_present,metabolomics_run_count,cohort_status,Field Sample ID,chem__LBC (mg/kg CaCO3/pH dry weight),chem__LBCeq (mg/kg CaCO3/pH dry weight),chem__pH,chem__Ca (Mehlich 1 mg/kg dry weight),chem__K (Mehlich 1 mg/kg dry weight),chem__Mg (Mehlich 1 mg/kg dry weight),chem__Mn (Mehlich 1 mg/kg dry weight),chem__P (Mehlich 1 mg/kg dry weight),chem__Zn (Mehlich 1 mg/kg dry weight),chem__NH4-N (mg/kg dry weight),chem__NO2-N (mg/kg dry weight),chem__NO3-N (mg/kg dry weight),chem__C (%),chem__N (%),denit__Technical Replicate,denit__Rate (microgN/kilogram dry weight soil/day),moist__Replicate 1 Mass Water / Mass Dry Soil %,moist__Replicate 2 Mass Water / Mass Dry Soil %,moist__Replicate 3 Mass Water / Mass Dry Soil %,nitrif__Technical Replicate,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),psize__Soil Sand Content %,psize__Soil Clay Content %,psize__Soil Silt Content %,soil_match
GW-9591-Co1_16_8,nmdc:bsm-11-yms2f086,SRX21790362,nmdc:dgms-12-58m2r182;nmdc:dgms-12-ann5pb93;nmdc:dgms-12-6bmrgp85;nmdc:dgms-12-z8579q89,6.64,1.8015,1.698,1.235,0.242,yes,from_supp_table1,Gp0566853,yes,4,ready,GW-9591-Co1_16_8,449.0,1302.1,6.64,1945.98,304.965,351.875,17.688,114.613,2.6576,1.8015,<0.20,1.698,1.235,0.242,1.0,4.040169133,9.649122807,9.429824561,9.89010989,1.0,1.080508902,15.34689875,51.99803873,32.65506252,yes
SKWD-24-1-Co2_54_22,nmdc:bsm-11-wm40z541,SRX21790363,nmdc:dgms-12-ga7g0t50;nmdc:dgms-12-sjz55c78;nmdc:dgms-12-pys4cj59;nmdc:dgms-12-xv2zq230,6.74,3.261,0.4465,1.774,0.38,yes,from_supp_table1,Gp0566862,yes,4,ready,SKWD-24-1-Co2_54_22,405.0,1174.5,6.74,1872.06,262.193,366.281,17.4063,118.146,3.5127,3.261,<0.20,0.4465,1.774,0.38,1.0,22.63650846,3.742203742,3.519668737,3.734439834,1.0,0.332901676,10.58122206,67.51117735,21.9076006,yes
BESC-847-CL3_83_27,nmdc:bsm-11-pgfhya35,SRX21790364,nmdc:dgms-12-q83p1e44;nmdc:dgms-12-nxkg4h29;nmdc:dgms-12-hwr1kx83;nmdc:dgms-12-92xjd525,5.34,8.3875,19.8355,3.886,0.319,yes,from_supp_table1,Gp0566823,yes,4,ready,BESC-847-CL3_83_27,1100.0,3190.0,5.34,2522.96,293.434,435.812,48.1777,40.5021,8.3322,8.3875,<0.20,19.8355,3.886,0.319,1.0,88.63683212,25.75757576,24.6882793,20.82324455,2.0,5.387585001,39.5256917,7.361660079,53.11264822,yes
SKWA-24-3-Co2_41_10,nmdc:bsm-11-4pc4k424,SRX21790365,nmdc:dgms-12-w9bhkv16;nmdc:dgms-12-ms8cjb84;nmdc:dgms-12-4d3pr875;nmdc:dgms-12-n1c1r813,6.77,2.6175,1.3215,1.473,0.31,yes,from_supp_table1,Gp0566858,yes,4,ready,SKWA-24-3-Co2_41_10,455.0,1319.5,6.77,2015.2,165.924,400.552,16.7989,104.324,2.2483,2.6175,<0.20,1.3215,1.473,0.31,1.0,6.000736054,4.831932773,4.175365345,3.519668737,2.0,0.745021916,24.77876106,55.11307768,20.10816126,yes
SKWA-24-3-CL2_69_25,nmdc:bsm-11-aan31e03,SRX21791385,nmdc:dgms-12-1fz3wg32;nmdc:dgms-12-gb1v6726;nmdc:dgms-12-zs9dat86;nmdc:dgms-12-pdvaph96,5.13,10.138,33.2955,6.611,0.491,yes,from_supp_table1,Gp0566856,yes,4,ready,SKWA-24-3-CL2_69_25,1315.0,3813.5,5.13,2288.44,272.768,450.128,39.2999,22.3361,9.2886,10.138,<0.20,33.2955,6.611,0.491,1.0,84.52389539,26.26262626,26.64974619,25.06265664,2.0,12.79423704,28.22778596,21.45311733,50.31909671,yes
BESC-845-Co3_28_42,nmdc:bsm-11-v1ynyj85,SRX21791386,nmdc:dgms-12-nwmcwv64;nmdc:dgms-12-pxxbrc62;nmdc:dgms-12-pkeqfq65;nmdc:dgms-12-j6jf1q27,6.81,3.002,1.333,2.12,0.144,yes,from_supp_table1,Gp0566820,yes,4,ready,BESC-845-Co3_28_42,636.0,1844.4,6.81,2254.4,395.228,442.037,25.3905,78.6293,3.6902,3.002,0.297,1.333,2.12,0.144,1.0,56.62116212,10.84070796,9.628008753,9.150326797,2.0,1.277046707,20.03471361,43.56558393,36.39970245,yes
BESC-845-Co2_60_28,nmdc:bsm-11-hae6xn61,SRX21791387,nmdc:dgms-12-vzr7dh20;nmdc:dgms-12-3h0zbe92;nmdc:dgms-12-vd457894;nmdc:dgms-12-tythxn76,6.37,2.0195,0.24,0.864,0.06,yes,from_supp_table1,Gp0566819,yes,4,ready,BESC-845-Co2_60_28,348.0,1009.2,6.37,1496.0,118.741,294.494,11.751,97.1426,1.5662,2.0195,<0.20,0.24,0.864,0.06,1.0,13.44406645,3.505154639,3.319502075,2.880658436,1.0,-1.030299097,13.79821958,78.78338279,7.418397626,yes
SKWA-24-3-Co1_3_5,nmdc:bsm-11-zqaeph53,SRX21791412,nmdc:dgms-12-hbz3hh89;nmdc:dgms-12-yne6xx14;nmdc:dgms-12-skpqzy25;nmdc:dgms-12-23x1tc92,6.6,3.524,2.111,2.203,0.309,yes,from_supp_table1,Gp0566857,yes,4,ready,SKWA-24-3-Co1_3_5,624.0,1809.6,6.6,2484.13,200.324,457.321,30.0327,108.302,3.9728,3.524,<0.20,2.111,2.203,0.309,1.0,35.01648799,31.66226913,32.89124668,32.71276596,2.0,0.909585837,13.90480937,49.51407924,36.58111139,yes
GW-7986-Co2_68_28,nmdc:bsm-11-thpb7b07,SRX21791413,nmdc:dgms-12-g7gnz859;nmdc:dgms-12-9kbsws90;nmdc:dgms-12-h89r1147;nmdc:dgms-12-g0c5cd05,,,,,,yes,from_supp_table1,Gp0566848,yes,4,ready,GW-7986-Co2_68_28,,,,,,,,,,,,,,,,,,,,,,8.073303616,73.79891035,18.12778603,yes
BESC-847-CL2_38_7,nmdc:bsm-11-rbzk5h49,SRX21791414,nmdc:dgms-12-e57hcg08;nmdc:dgms-12-b9ysfc73;nmdc:dgms-12-t49ne578;nmdc:dgms-12-asmwnx66,4.84,16.3295,14.395,7.005,0.513,yes,from_supp_table1,Gp0566822,yes,4,ready,BESC-847-CL2_38_7,1558.0,4518.2,4.84,1846.09,168.937,291.535,23.2667,25.6737,5.1776,16.3295,<0.20,14.395,7.005,0.513,1.0,100.4799514,33.06666667,37.08791209,31.75853018,2.0,6.932707749,48.49539915,34.09599602,17.40860482,yes
