host_id,nmdc_biosample_id,metagenome_accession,metabolomics_id,soil_pH,soil_NH4,soil_NO3,soil_total_C,soil_total_N,keep_for_analysis,notes,gold_project_id,metabolomics_present,metabolomics_run_count,cohort_status,soil_match,metagenomics_match,biosample_id_norm
BESC-845-Co3_28_42,nmdc:bsm-11-v1ynyj85,SRX21791386,nmdc:dgms-12-nwmcwv64;nmdc:dgms-12-pxxbrc62;nmdc:dgms-12-pkeqfq65;nmdc:dgms-12-j6jf1q27,6.81,3.002,1.333,2.12,0.144,yes,from_supp_table1,Gp0566820,yes,4,ready,yes,yes,nmdc_bsm-11-v1ynyj85
BESC-845-Co2_60_28,nmdc:bsm-11-hae6xn61,SRX21791387,nmdc:dgms-12-vzr7dh20;nmdc:dgms-12-3h0zbe92;nmdc:dgms-12-vd457894;nmdc:dgms-12-tythxn76,6.37,2.0195,0.24,0.864,0.06,yes,from_supp_table1,Gp0566819,yes,4,ready,yes,yes,nmdc_bsm-11-hae6xn61
SKWA-24-3-Co1_3_5,nmdc:bsm-11-zqaeph53,SRX21791412,nmdc:dgms-12-hbz3hh89;nmdc:dgms-12-yne6xx14;nmdc:dgms-12-skpqzy25;nmdc:dgms-12-23x1tc92,6.6,3.524,2.111,2.203,0.309,yes,from_supp_table1,Gp0566857,yes,4,ready,yes,yes,nmdc_bsm-11-zqaeph53
GW-7986-Co2_68_28,nmdc:bsm-11-thpb7b07,SRX21791413,nmdc:dgms-12-g7gnz859;nmdc:dgms-12-9kbsws90;nmdc:dgms-12-h89r1147;nmdc:dgms-12-g0c5cd05,,,nan,,,yes,from_supp_table1,Gp0566848,yes,4,ready,yes,yes,nmdc_bsm-11-thpb7b07
BESC-847-CL2_38_7,nmdc:bsm-11-rbzk5h49,SRX21791414,nmdc:dgms-12-e57hcg08;nmdc:dgms-12-b9ysfc73;nmdc:dgms-12-t49ne578;nmdc:dgms-12-asmwnx66,4.84,16.3295,14.395,7.005,0.513,yes,from_supp_table1,Gp0566822,yes,4,ready,yes,yes,nmdc_bsm-11-rbzk5h49
GW-9591-CL3_98_5,nmdc:bsm-11-xhbae603,SRX21791415,nmdc:dgms-12-5qa0qv02;nmdc:dgms-12-v763y681;nmdc:dgms-12-327nbe32;nmdc:dgms-12-bg582k56,4.83,11.8795,9.4465,3.989,0.326,yes,from_supp_table1,Gp0566852,yes,4,ready,yes,yes,nmdc_bsm-11-xhbae603
BESC-847-CL1_28_5,nmdc:bsm-11-zmsv5494,SRX21791416,nmdc:dgms-12-szcys935;nmdc:dgms-12-qsqw4085;nmdc:dgms-12-dva1v677;nmdc:dgms-12-vfyc2n90,4.88,20.6825,12.746,6.687,0.527,yes,from_supp_table1,Gp0566821,yes,4,ready,yes,yes,nmdc_bsm-11-zmsv5494
BESC-845-Co1_24_3,nmdc:bsm-11-wpye0n32,SRX21791417,nmdc:dgms-12-w7s78752;nmdc:dgms-12-4s8d7y49;nmdc:dgms-12-tetp1d35;nmdc:dgms-12-n8sdc015,6.6,3.6545,1.111,2.163,0.4,yes,from_supp_table1,Gp0566818,yes,4,ready,yes,yes,nmdc_bsm-11-wpye0n32
BESC-847-Co3_9_34,nmdc:bsm-11-jrahe581,SRX21791425,nmdc:dgms-12-q6w7dq62;nmdc:dgms-12-h71f7227;nmdc:dgms-12-9atbm875;nmdc:dgms-12-nn6n0d27,6.55,3.358,1.5495,1.921,0.111,yes,from_supp_table1,Gp0566826,yes,4,ready,yes,yes,nmdc_bsm-11-jrahe581
GW-11047-CL2_41_30,nmdc:bsm-11-kff3y587,SRX21791426,nmdc:dgms-12-bsmnka97;nmdc:dgms-12-zp09yx22;nmdc:dgms-12-wnd91f58;nmdc:dgms-12-2rbts353,5.05,7.2955,17.694,3.046,0.281,yes,from_supp_table1,Gp0566841,yes,4,ready,yes,yes,nmdc_bsm-11-kff3y587
