feature,feature_type,n_metabolites,mean_importance,max_importance,mean_cv_r2
Paludisphaera borealis,mg,1,0.03659471751748904,0.03659471751748904,0.4812052308429454
Streptomyces globosus,mg,1,0.036528746849226724,0.036528746849226724,0.4812052308429454
Methylocella silvestris,mg,1,0.03423207998275757,0.03423207998275757,0.4422310812494176
Weeksella virosa,mg,1,0.03346163434886942,0.03346163434886942,0.4812052308429454
Amycolatopsis sp. AA4,mg,1,0.03342040274867762,0.03342040274867762,0.4812052308429454
Acidisphaera sp. G45-3,mg,1,0.031216953504325348,0.031216953504325348,0.4350307938679755
Nocardia sp. CFHS0054,mg,1,0.030777161940932274,0.030777161940932274,0.4422310812494176
Streptomyces sp. RTd22,mg,1,0.03044070675969124,0.03044070675969124,0.4422310812494176
Chitinophaga pinensis,mg,1,0.0303642437523011,0.0303642437523011,0.4350307938679755
chem__Zn (Mehlich 1 mg/kg dry weight),soil,1,0.03003730596808086,0.03003730596808086,0.4350307938679755
Sulfurihydrogenibium sp. YO3AOP1,mg,1,0.029975360384499654,0.029975360384499654,0.4350307938679755
Pseudomonas protegens,mg,1,0.029181810495866527,0.029181810495866527,0.5267660573045383
Massilia sp. NR 4-1,mg,1,0.027428957083344564,0.027428957083344564,0.5267660573045383
Pseudomonas chlororaphis,mg,1,0.02742204639036758,0.02742204639036758,0.5267660573045383
Desulfocapsa sulfexigens,mg,1,0.026709241207752258,0.026709241207752258,0.4860926802070316
Tessaracoccus flavescens,mg,1,0.02596699502818322,0.02596699502818322,0.4860926802070316
Paenibacillus riograndensis,mg,1,0.025233886589843692,0.025233886589843692,0.5267660573045383
Psychrobacter sp. AntiMn-1,mg,1,0.025027744966920513,0.025027744966920513,0.4860926802070316
Bacillus muralis,mg,1,0.024352988228201866,0.024352988228201866,0.630536037972228
Paenibacillus graminis,mg,1,0.02430195109611922,0.02430195109611922,0.5267660573045383
Alcaligenes aquatilis,mg,1,0.023503526155861626,0.023503526155861626,0.5267660573045383
Streptococcus suis,mg,1,0.023471702759659083,0.023471702759659083,0.4860926802070316
Microbacterium paludicola,mg,1,0.022953702403215762,0.022953702403215762,0.5267660573045383
Thermosulfidibacter takaii,mg,1,0.02280331402501311,0.02280331402501311,0.4860926802070316
Microbacterium sp. No. 7,mg,1,0.02266600823864859,0.02266600823864859,0.5267660573045383
Actinoplanes sp. N902-109,mg,1,0.02224678027566474,0.02224678027566474,0.5267660573045383
Serratia plymuthica,mg,1,0.022175011065153395,0.022175011065153395,0.5267660573045383
Methylovulum psychrotolerans,mg,1,0.02211106420527821,0.02211106420527821,0.4860926802070316
Planktothrix agardhii,mg,1,0.021801926802870783,0.021801926802870783,0.4860926802070316
Acinetobacter lwoffii,mg,1,0.02179182879626751,0.02179182879626751,0.630536037972228
Streptomyces actuosus,mg,1,0.02120007574558258,0.02120007574558258,0.630536037972228
Arcanobacterium haemolyticum,mg,1,0.02109763831008246,0.02109763831008246,0.4860926802070316
Rahnella sp. ERMR1:05,mg,1,0.021047649905085564,0.021047649905085564,0.630536037972228
Mycobacterium kansasii,mg,1,0.020782217383384705,0.020782217383384705,0.4422310812494176
Pseudarcicella sp. HME7025,mg,1,0.02075635725296054,0.02075635725296054,0.4860926802070316
Actinomyces sp. VUL4_3,mg,1,0.02072755261649,0.02072755261649,0.4860926802070316
Carboxydocella thermautotrophica,mg,1,0.020567737000780257,0.020567737000780257,0.4860926802070316
Sphaerochaeta globosa,mg,1,0.02047591600428721,0.02047591600428721,0.4860926802070316
Corynebacterium mustelae,mg,1,0.020155532340967324,0.020155532340967324,0.4860926802070316
Gordonia phthalatica,mg,1,0.02014524485413473,0.02014524485413473,0.4860926802070316
Cyanothece sp. ATCC 51142,mg,1,0.019829938525467064,0.019829938525467064,0.4860926802070316
Acidaminococcus intestini,mg,1,0.01973895543935942,0.01973895543935942,0.4860926802070316
Actinoplanes derwentensis,mg,1,0.019653396796853174,0.019653396796853174,0.5267660573045383
Ruminococcus champanellensis,mg,1,0.01939782436223183,0.01939782436223183,0.4860926802070316
Lachnoclostridium phytofermentans,mg,1,0.01939667947590351,0.01939667947590351,0.630536037972228
Ruminococcus albus,mg,1,0.018911510795672843,0.018911510795672843,0.4860926802070316
Rhodococcus sp. WB1,mg,1,0.018781737635618505,0.018781737635618505,0.4860926802070316
Pelodictyon phaeoclathratiforme,mg,1,0.01855636066331994,0.01855636066331994,0.4860926802070316
Streptomyces lincolnensis,mg,1,0.018412379547953606,0.018412379547953606,0.630536037972228
Clostridium sp. SY8519,mg,1,0.018292146702128646,0.018292146702128646,0.4860926802070316
Mycobacterium pseudoshottsii,mg,1,0.01777229387852755,0.01777229387852755,0.4860926802070316
Actinomyces hongkongensis,mg,1,0.01765679399605766,0.01765679399605766,0.4860926802070316
Elusimicrobium minutum,mg,1,0.017536291366720073,0.017536291366720073,0.4860926802070316
Corynebacterium ammoniagenes,mg,1,0.017477502994626103,0.017477502994626103,0.4860926802070316
Chryseobacterium arthrosphaerae,mg,1,0.017434703186154366,0.017434703186154366,0.630536037972228
Brucella suis,mg,1,0.017164040356874466,0.017164040356874466,0.630536037972228
Herminiimonas arsenicoxydans,mg,1,0.016714656725525856,0.016714656725525856,0.4422310812494176
Treponema azotonutricium,mg,1,0.01648564746456594,0.01648564746456594,0.4860926802070316
Bradyrhizobium sp. ORS 3257,mg,1,0.015804113820195198,0.015804113820195198,0.4422310812494176
Xanthomonas campestris,mg,1,0.015603127889335155,0.015603127889335155,0.630536037972228
Agrobacterium fabrum,mg,1,0.015582975931465626,0.015582975931465626,0.4422310812494176
Streptomyces antibioticus,mg,1,0.015169629827141762,0.015169629827141762,0.4382750010141011
Burkholderia anthina,mg,1,0.015069746412336826,0.015069746412336826,0.4382750010141011
Mycobacterium paragordonae,mg,1,0.014388537034392357,0.014388537034392357,0.4723181412272977
Leifsonia sp. 21MFCrub1.1,mg,1,0.014204824343323708,0.014204824343323708,0.630536037972228
Vibrio furnissii,mg,1,0.013581658713519573,0.013581658713519573,0.4382750010141011
Citrobacter freundii complex sp. CFNIH9,mg,1,0.01348036527633667,0.01348036527633667,0.4422310812494176
Lentzea guizhouensis,mg,1,0.013013268820941448,0.013013268820941448,0.4422310812494176
Rhodococcus ruber,mg,1,0.01291436143219471,0.01291436143219471,0.4723181412272977
Enterobacter hormaechei,mg,1,0.01281811110675335,0.01281811110675335,0.4422310812494176
Trichormus variabilis,mg,1,0.012818102724850178,0.012818102724850178,0.4723181412272977
Calditerrivibrio nitroreducens,mg,1,0.012718508951365948,0.012718508951365948,0.4382750010141011
Wenyingzhuangia fucanilytica,mg,1,0.011013785377144814,0.011013785377144814,0.4382750010141011
Dickeya sp. MK7,mg,1,0.011007520370185375,0.011007520370185375,0.630536037972228
Bradyrhizobium sp. CCGE-LA001,mg,1,0.011006015352904797,0.011006015352904797,0.4422310812494176
Caulobacter flavus,mg,1,0.010935792699456215,0.010935792699456215,0.630536037972228
Bradyrhizobium sp. S23321,mg,1,0.010894848965108395,0.010894848965108395,0.4422310812494176
Frankia inefficax,mg,1,0.010480758734047413,0.010480758734047413,0.4723181412272977
Polynucleobacter duraquae,mg,1,0.010125343687832355,0.010125343687832355,0.4422310812494176
Frankia sp. EAN1pec,mg,1,0.009935921989381313,0.009935921989381313,0.4723181412272977
Acinetobacter baumannii,mg,1,0.009607023559510708,0.009607023559510708,0.4382750010141011
Mycobacterium sp. WY10,mg,1,0.009467706084251404,0.009467706084251404,0.4382750010141011
Exiguobacterium sibiricum,mg,1,0.009354420937597752,0.009354420937597752,0.4723181412272977
Bifidobacterium actinocoloniiforme,mg,1,0.00933743454515934,0.00933743454515934,0.4723181412272977
Nitrosomonas communis,mg,1,0.009324116632342339,0.009324116632342339,0.4723181412272977
Rhodopseudomonas palustris,mg,1,0.009196626022458076,0.009196626022458076,0.4723181412272977
Ochrobactrum sp. A44,mg,1,0.009061610326170921,0.009061610326170921,0.4723181412272977
Streptomyces avermitilis,mg,1,0.00889752060174942,0.00889752060174942,0.4723181412272977
Acidiferrobacter sp. SPIII_3,mg,1,0.008806763216853142,0.008806763216853142,0.630536037972228
Candidatus Nanopelagicus hibericus,mg,1,0.008702890016138554,0.008702890016138554,0.4723181412272977
Dickeya zeae,mg,1,0.008465679362416267,0.008465679362416267,0.4422310812494176
Sphingopyxis sp. LPB0140,mg,1,0.008381408639252186,0.008381408639252186,0.630536037972228
Mycolicibacterium rhodesiae,mg,1,0.008350245654582977,0.008350245654582977,0.4723181412272977
Vibrio natriegens,mg,1,0.008089824579656124,0.008089824579656124,0.4422310812494176
Methylobacterium sp. XJLW,mg,1,0.008071636781096458,0.008071636781096458,0.630536037972228
Synechococcus sp. CC9311,mg,1,0.007898353971540928,0.007898353971540928,0.4723181412272977
Anaerotignum propionicum,mg,1,0.007873746566474438,0.007873746566474438,0.4382750010141011
Bordetella genomosp. 8,mg,1,0.007851970382034779,0.007851970382034779,0.4422310812494176
Desulfomonile tiedjei,mg,1,0.007790823932737112,0.007790823932737112,0.4723181412272977
Pseudarthrobacter chlorophenolicus,mg,1,0.0076738460920751095,0.0076738460920751095,0.4723181412272977
Mucinivorans hirudinis,mg,1,0.0075621455907821655,0.0075621455907821655,0.4723181412272977
Myroides odoratus,mg,1,0.007400264497846365,0.007400264497846365,0.4723181412272977
Methanocorpusculum labreanum,mg,1,0.007385620381683111,0.007385620381683111,0.4723181412272977
[Eubacterium] minutum,mg,1,0.007351906970143318,0.007351906970143318,0.4723181412272977
Streptococcus agalactiae,mg,1,0.007308266591280699,0.007308266591280699,0.4422310812494176
Streptomyces sp. TN58,mg,1,0.007066390942782164,0.007066390942782164,0.4422310812494176
Bosea sp. AS-1,mg,1,0.0067833117209374905,0.0067833117209374905,0.630536037972228
Bradyrhizobium sp. SK17,mg,1,0.006649606395512819,0.006649606395512819,0.4382750010141011
Lelliottia sp. WB101,mg,1,0.006404757499694824,0.006404757499694824,0.4422310812494176
chem__Ca (Mehlich 1 mg/kg dry weight),soil,1,0.0062232245691120625,0.0062232245691120625,0.4422310812494176
Streptomyces autolyticus,mg,1,0.0061513520777225494,0.0061513520777225494,0.4382750010141011
Collimonas pratensis,mg,1,0.0061073037795722485,0.0061073037795722485,0.4382750010141011
Buttiauxella sp. 3AFRM03,mg,1,0.005916742142289877,0.005916742142289877,0.4422310812494176
Acinetobacter radioresistens,mg,1,0.005910272244364023,0.005910272244364023,0.630536037972228
