config_id,model,mi_k,reduction,n_components,w_mg,mean_r2,median_r2,std_r2,min_r2,max_r2,mean_rmse,mean_mae,n_metabolites
C034,rf_strong,1000,sparsepca,100,0.7,0.38725768102941854,0.3557772955413146,0.09163616009172454,0.2897177878290912,0.6750340263798013,4.2697822172696585,3.360816641562794,30
C010,rf_strong,500,sparsepca,50,0.7,0.3871882829412512,0.35382740601215995,0.09219478906039044,0.2832464025715303,0.6810424538914479,4.2712325533732285,3.322104781073016,30
C002,rf_strong,300,sparsepca,50,0.8,0.3871682543840322,0.3559991585734943,0.09664647561603017,0.2766062313782816,0.6981491599961609,4.270070564555357,3.2698312080875405,30
C009,rf_strong,500,sparsepca,50,0.6,0.3871089297717037,0.348439948050871,0.09213275455653228,0.2823165435757198,0.6800947783679334,4.271910176441167,3.3409154576603894,30
C033,rf_strong,1000,sparsepca,100,0.6,0.3869285227070696,0.3505016453350665,0.09176682417567435,0.2908687578689906,0.6750510155119298,4.271488340528949,3.374137832236559,30
C025,rf_strong,800,sparsepca,100,0.7,0.3869211053598833,0.35417268014990994,0.09188635224893803,0.2930004893939072,0.6831253741364485,4.2698443738367065,3.3511956201129984,30
C024,rf_strong,800,sparsepca,100,0.6,0.3866302566760916,0.35219709653552117,0.09204428478833752,0.2842470979562891,0.6816847602746312,4.271450319403231,3.365827165945026,30
C039,rf_regularized,500,sparsepca,100,0.8,0.3865926959967271,0.3640941863373775,0.0966238716967404,0.2708006050955034,0.6794184289585313,4.271639325387698,3.259731103838019,30
C042,rf_regularized,800,sparsepca,100,0.7,0.386281375494504,0.35547361662473853,0.09307230200981535,0.2845474934568879,0.6638037165527513,4.272901400094784,3.3197598136893185,30
C051,et_regularized,800,sparsepca,100,0.7,0.3862170114301102,0.3530557408900889,0.09243727085136011,0.288050745741148,0.671222884290013,4.272559370097089,3.2989675314113907,30
C046,et_strong,500,sparsepca,100,0.7,0.3857361579178548,0.35020466508835446,0.09182648339246088,0.2807355007188883,0.6766829579519298,4.27517361096157,3.3249239869855014,30
C027,rf_strong,1000,sparsepca,50,0.6,0.3854144388636074,0.34714804720162584,0.09285671443913583,0.2844713526205378,0.6836266286548953,4.275672937005121,3.357242636245237,30
